county,precinct,office,district,party,candidate,votes,mail,election_day
Sutter,41,Controller,,Dem,Betty Yee,295,,
Sutter,42,Controller,,Dem,Betty Yee,200,,
Sutter,43,Controller,,Dem,Betty Yee,193,,
Sutter,44,Controller,,Dem,Betty Yee,345,,
Sutter,45,Controller,,Dem,Betty Yee,110,,
Sutter,46,Controller,,Dem,Betty Yee,11,,
Sutter,47,Controller,,Dem,Betty Yee,12,,
Sutter,48,Controller,,Dem,Betty Yee,108,,
Sutter,49,Controller,,Dem,Betty Yee,115,,
Sutter,50,Controller,,Dem,Betty Yee,39,,
Sutter,LO Comm 01 ,Treasurer,,Rep,Greg Conlon,376,,
Sutter,LO Comm 02 ,Treasurer,,Rep,Greg Conlon,497,,
Sutter,Dell Wayne 03,Treasurer,,Rep,Greg Conlon,342,,
Sutter,United Pent 04,Treasurer,,Rep,Greg Conlon,872,,
Sutter,United Pent 05,Treasurer,,Rep,Greg Conlon,502,,
Sutter,7th Day 06,Treasurer,,Rep,Greg Conlon,122,,
Sutter,Sutter Estates 07,Treasurer,,Rep,Greg Conlon,132,,
Sutter,YS Fair 08,Treasurer,,Rep,Greg Conlon,143,,
Sutter,YS Fair 09,Treasurer,,Rep,Greg Conlon,248,,
Sutter,St Isidore 10,Treasurer,,Rep,Greg Conlon,284,,
Sutter,Sutter HS 11,Treasurer,,Rep,Greg Conlon,672,,
Sutter,Sutter HS 12,Treasurer,,Rep,Greg Conlon,579,,
Sutter,Franklin 13,Treasurer,,Rep,Greg Conlon,243,,
Sutter,Meridian 14,Treasurer,,Rep,Greg Conlon,192,,
Sutter,1st United 15,Treasurer,,Rep,Greg Conlon,495,,
Sutter,1st United 16,Treasurer,,Rep,Greg Conlon,626,,
Sutter,Veterans 17,Treasurer,,Rep,Greg Conlon,311,,
Sutter,Veterans 18,Treasurer,,Rep,Greg Conlon,455,,
Sutter,Veterans 19,Treasurer,,Rep,Greg Conlon,515,,
Sutter,Veterans 20,Treasurer,,Rep,Greg Conlon,496,,
Sutter,St Andrew 21,Treasurer,,Rep,Greg Conlon,355,,
Sutter,St Andrew 22,Treasurer,,Rep,Greg Conlon,494,,
Sutter,AK School 23,Treasurer,,Rep,Greg Conlon,535,,
Sutter,AK School 24,Treasurer,,Rep,Greg Conlon,561,,
Sutter,St James 25,Treasurer,,Rep,Greg Conlon,231,,
Sutter,Walnut 26,Treasurer,,Rep,Greg Conlon,466,,
Sutter,Walnut 27,Treasurer,,Rep,Greg Conlon,468,,
Sutter,NV Calvary 28,Treasurer,,Rep,Greg Conlon,579,,
Sutter,NV Calvary 29,Treasurer,,Rep,Greg Conlon,438,,
Sutter,Riverbend 30,Treasurer,,Rep,Greg Conlon,389,,
Sutter,1st Reform 31,Treasurer,,Rep,Greg Conlon,142,,
Sutter,P Grove 32,Treasurer,,Rep,Greg Conlon,304,,
Sutter,E Nicolaus 33,Treasurer,,Rep,Greg Conlon,489,,
Sutter,34,Treasurer,,Rep,Greg Conlon,425,,
Sutter,35,Treasurer,,Rep,Greg Conlon,305,,
Sutter,36,Treasurer,,Rep,Greg Conlon,83,,
Sutter,37,Treasurer,,Rep,Greg Conlon,417,,
Sutter,38,Treasurer,,Rep,Greg Conlon,232,,
Sutter,39,Treasurer,,Rep,Greg Conlon,118,,
Sutter,40,Treasurer,,Rep,Greg Conlon,239,,
Sutter,41,Treasurer,,Rep,Greg Conlon,302,,
Sutter,42,Treasurer,,Rep,Greg Conlon,271,,
Sutter,43,Treasurer,,Rep,Greg Conlon,199,,
Sutter,44,Treasurer,,Rep,Greg Conlon,363,,
Sutter,45,Treasurer,,Rep,Greg Conlon,212,,
Sutter,46,Treasurer,,Rep,Greg Conlon,60,,
Sutter,47,Treasurer,,Rep,Greg Conlon,43,,
Sutter,48,Treasurer,,Rep,Greg Conlon,173,,
Sutter,49,Treasurer,,Rep,Greg Conlon,285,,
Sutter,50,Treasurer,,Rep,Greg Conlon,41,,
Sutter,LO Comm 01 ,Treasurer,,Dem,Fiona Ma,486,,
Sutter,LO Comm 02 ,Treasurer,,Dem,Fiona Ma,560,,
Sutter,Dell Wayne 03,Treasurer,,Dem,Fiona Ma,241,,
Sutter,United Pent 04,Treasurer,,Dem,Fiona Ma,537,,
Sutter,United Pent 05,Treasurer,,Dem,Fiona Ma,350,,
Sutter,7th Day 06,Treasurer,,Dem,Fiona Ma,83,,
Sutter,Sutter Estates 07,Treasurer,,Dem,Fiona Ma,145,,
Sutter,YS Fair 08,Treasurer,,Dem,Fiona Ma,190,,
Sutter,YS Fair 09,Treasurer,,Dem,Fiona Ma,213,,
Sutter,St Isidore 10,Treasurer,,Dem,Fiona Ma,169,,
Sutter,Sutter HS 11,Treasurer,,Dem,Fiona Ma,159,,
Sutter,Sutter HS 12,Treasurer,,Dem,Fiona Ma,157,,
Sutter,Franklin 13,Treasurer,,Dem,Fiona Ma,68,,
Sutter,Meridian 14,Treasurer,,Dem,Fiona Ma,44,,
Sutter,1st United 15,Treasurer,,Dem,Fiona Ma,408,,
Sutter,1st United 16,Treasurer,,Dem,Fiona Ma,294,,
Sutter,Veterans 17,Treasurer,,Dem,Fiona Ma,153,,
Sutter,Veterans 18,Treasurer,,Dem,Fiona Ma,212,,
Sutter,Veterans 19,Treasurer,,Dem,Fiona Ma,270,,
Sutter,Veterans 20,Treasurer,,Dem,Fiona Ma,381,,
Sutter,St Andrew 21,Treasurer,,Dem,Fiona Ma,504,,
Sutter,St Andrew 22,Treasurer,,Dem,Fiona Ma,479,,
Sutter,AK School 23,Treasurer,,Dem,Fiona Ma,509,,
Sutter,AK School 24,Treasurer,,Dem,Fiona Ma,679,,
Sutter,St James 25,Treasurer,,Dem,Fiona Ma,198,,
Sutter,Walnut 26,Treasurer,,Dem,Fiona Ma,220,,
Sutter,Walnut 27,Treasurer,,Dem,Fiona Ma,179,,
Sutter,NV Calvary 28,Treasurer,,Dem,Fiona Ma,490,,
Sutter,NV Calvary 29,Treasurer,,Dem,Fiona Ma,394,,
Sutter,Riverbend 30,Treasurer,,Dem,Fiona Ma,385,,
Sutter,1st Reform 31,Treasurer,,Dem,Fiona Ma,62,,
Sutter,P Grove 32,Treasurer,,Dem,Fiona Ma,68,,
Sutter,E Nicolaus 33,Treasurer,,Dem,Fiona Ma,150,,
Sutter,34,Treasurer,,Dem,Fiona Ma,175,,
Sutter,35,Treasurer,,Dem,Fiona Ma,108,,
Sutter,36,Treasurer,,Dem,Fiona Ma,48,,
Sutter,37,Treasurer,,Dem,Fiona Ma,237,,
Sutter,38,Treasurer,,Dem,Fiona Ma,118,,
Sutter,39,Treasurer,,Dem,Fiona Ma,33,,
Sutter,40,Treasurer,,Dem,Fiona Ma,216,,
Sutter,41,Treasurer,,Dem,Fiona Ma,276,,
Sutter,42,Treasurer,,Dem,Fiona Ma,183,,
Sutter,43,Treasurer,,Dem,Fiona Ma,184,,
Sutter,44,Treasurer,,Dem,Fiona Ma,316,,
Sutter,45,Treasurer,,Dem,Fiona Ma,91,,
Sutter,46,Treasurer,,Dem,Fiona Ma,11,,
Sutter,47,Treasurer,,Dem,Fiona Ma,11,,
Sutter,48,Treasurer,,Dem,Fiona Ma,109,,
Sutter,49,Treasurer,,Dem,Fiona Ma,107,,
Sutter,50,Treasurer,,Dem,Fiona Ma,34,,
Sutter,LO Comm 01 ,Attorney General,,Rep,Steven Bailey,379,,
Sutter,LO Comm 02 ,Attorney General,,Rep,Steven Bailey,498,,
Sutter,Dell Wayne 03,Attorney General,,Rep,Steven Bailey,353,,
Sutter,United Pent 04,Attorney General,,Rep,Steven Bailey,890,,
Sutter,United Pent 05,Attorney General,,Rep,Steven Bailey,527,,
Sutter,7th Day 06,Attorney General,,Rep,Steven Bailey,121,,
Sutter,Sutter Estates 07,Attorney General,,Rep,Steven Bailey,133,,
Sutter,YS Fair 08,Attorney General,,Rep,Steven Bailey,136,,
Sutter,YS Fair 09,Attorney General,,Rep,Steven Bailey,262,,
Sutter,St Isidore 10,Attorney General,,Rep,Steven Bailey,288,,
Sutter,Sutter HS 11,Attorney General,,Rep,Steven Bailey,677,,
Sutter,Sutter HS 12,Attorney General,,Rep,Steven Bailey,594,,
Sutter,Franklin 13,Attorney General,,Rep,Steven Bailey,243,,
Sutter,Meridian 14,Attorney General,,Rep,Steven Bailey,196,,
Sutter,1st United 15,Attorney General,,Rep,Steven Bailey,503,,
Sutter,1st United 16,Attorney General,,Rep,Steven Bailey,651,,
Sutter,Veterans 17,Attorney General,,Rep,Steven Bailey,308,,
Sutter,Veterans 18,Attorney General,,Rep,Steven Bailey,459,,
Sutter,Veterans 19,Attorney General,,Rep,Steven Bailey,539,,
Sutter,Veterans 20,Attorney General,,Rep,Steven Bailey,510,,
Sutter,St Andrew 21,Attorney General,,Rep,Steven Bailey,376,,
Sutter,St Andrew 22,Attorney General,,Rep,Steven Bailey,494,,
Sutter,AK School 23,Attorney General,,Rep,Steven Bailey,554,,
Sutter,AK School 24,Attorney General,,Rep,Steven Bailey,570,,
Sutter,St James 25,Attorney General,,Rep,Steven Bailey,234,,
Sutter,Walnut 26,Attorney General,,Rep,Steven Bailey,476,,
Sutter,Walnut 27,Attorney General,,Rep,Steven Bailey,486,,
Sutter,NV Calvary 28,Attorney General,,Rep,Steven Bailey,608,,
Sutter,NV Calvary 29,Attorney General,,Rep,Steven Bailey,453,,
Sutter,Riverbend 30,Attorney General,,Rep,Steven Bailey,404,,
Sutter,1st Reform 31,Attorney General,,Rep,Steven Bailey,146,,
Sutter,P Grove 32,Attorney General,,Rep,Steven Bailey,315,,
Sutter,E Nicolaus 33,Attorney General,,Rep,Steven Bailey,497,,
Sutter,34,Attorney General,,Rep,Steven Bailey,440,,
Sutter,35,Attorney General,,Rep,Steven Bailey,314,,
Sutter,36,Attorney General,,Rep,Steven Bailey,89,,
Sutter,37,Attorney General,,Rep,Steven Bailey,444,,
Sutter,38,Attorney General,,Rep,Steven Bailey,255,,
Sutter,39,Attorney General,,Rep,Steven Bailey,118,,
Sutter,40,Attorney General,,Rep,Steven Bailey,255,,
Sutter,41,Attorney General,,Rep,Steven Bailey,318,,
Sutter,42,Attorney General,,Rep,Steven Bailey,284,,
Sutter,43,Attorney General,,Rep,Steven Bailey,210,,
Sutter,44,Attorney General,,Rep,Steven Bailey,370,,
Sutter,45,Attorney General,,Rep,Steven Bailey,218,,
Sutter,46,Attorney General,,Rep,Steven Bailey,60,,
Sutter,47,Attorney General,,Rep,Steven Bailey,44,,
Sutter,48,Attorney General,,Rep,Steven Bailey,176,,
Sutter,49,Attorney General,,Rep,Steven Bailey,296,,
Sutter,50,Attorney General,,Rep,Steven Bailey,40,,
Sutter,LO Comm 01 ,Attorney General,,Dem,Xavier Becerra,491,,
Sutter,LO Comm 02 ,Attorney General,,Dem,Xavier Becerra,559,,
Sutter,Dell Wayne 03,Attorney General,,Dem,Xavier Becerra,233,,
Sutter,United Pent 04,Attorney General,,Dem,Xavier Becerra,526,,
Sutter,United Pent 05,Attorney General,,Dem,Xavier Becerra,328,,
Sutter,7th Day 06,Attorney General,,Dem,Xavier Becerra,87,,
Sutter,Sutter Estates 07,Attorney General,,Dem,Xavier Becerra,148,,
Sutter,YS Fair 08,Attorney General,,Dem,Xavier Becerra,199,,
Sutter,YS Fair 09,Attorney General,,Dem,Xavier Becerra,200,,
Sutter,St Isidore 10,Attorney General,,Dem,Xavier Becerra,170,,
Sutter,Sutter HS 11,Attorney General,,Dem,Xavier Becerra,159,,
Sutter,Sutter HS 12,Attorney General,,Dem,Xavier Becerra,147,,
Sutter,Franklin 13,Attorney General,,Dem,Xavier Becerra,73,,
Sutter,Meridian 14,Attorney General,,Dem,Xavier Becerra,39,,
Sutter,1st United 15,Attorney General,,Dem,Xavier Becerra,408,,
Sutter,1st United 16,Attorney General,,Dem,Xavier Becerra,282,,
Sutter,Veterans 17,Attorney General,,Dem,Xavier Becerra,167,,
Sutter,Veterans 18,Attorney General,,Dem,Xavier Becerra,211,,
Sutter,Veterans 19,Attorney General,,Dem,Xavier Becerra,257,,
Sutter,Veterans 20,Attorney General,,Dem,Xavier Becerra,376,,
Sutter,St Andrew 21,Attorney General,,Dem,Xavier Becerra,496,,
Sutter,St Andrew 22,Attorney General,,Dem,Xavier Becerra,491,,
Sutter,AK School 23,Attorney General,,Dem,Xavier Becerra,493,,
Sutter,AK School 24,Attorney General,,Dem,Xavier Becerra,669,,
Sutter,St James 25,Attorney General,,Dem,Xavier Becerra,198,,
Sutter,Walnut 26,Attorney General,,Dem,Xavier Becerra,227,,
Sutter,Walnut 27,Attorney General,,Dem,Xavier Becerra,165,,
Sutter,NV Calvary 28,Attorney General,,Dem,Xavier Becerra,473,,
Sutter,NV Calvary 29,Attorney General,,Dem,Xavier Becerra,382,,
Sutter,Riverbend 30,Attorney General,,Dem,Xavier Becerra,377,,
Sutter,1st Reform 31,Attorney General,,Dem,Xavier Becerra,58,,
Sutter,P Grove 32,Attorney General,,Dem,Xavier Becerra,65,,
Sutter,E Nicolaus 33,Attorney General,,Dem,Xavier Becerra,144,,
Sutter,34,Attorney General,,Dem,Xavier Becerra,161,,
Sutter,35,Attorney General,,Dem,Xavier Becerra,99,,
Sutter,36,Attorney General,,Dem,Xavier Becerra,42,,
Sutter,37,Attorney General,,Dem,Xavier Becerra,218,,
Sutter,38,Attorney General,,Dem,Xavier Becerra,101,,
Sutter,39,Attorney General,,Dem,Xavier Becerra,36,,
Sutter,40,Attorney General,,Dem,Xavier Becerra,209,,
Sutter,41,Attorney General,,Dem,Xavier Becerra,261,,
Sutter,42,Attorney General,,Dem,Xavier Becerra,171,,
Sutter,43,Attorney General,,Dem,Xavier Becerra,181,,
Sutter,44,Attorney General,,Dem,Xavier Becerra,309,,
Sutter,45,Attorney General,,Dem,Xavier Becerra,87,,
Sutter,46,Attorney General,,Dem,Xavier Becerra,11,,
Sutter,47,Attorney General,,Dem,Xavier Becerra,10,,
Sutter,48,Attorney General,,Dem,Xavier Becerra,110,,
Sutter,49,Attorney General,,Dem,Xavier Becerra,101,,
Sutter,50,Attorney General,,Dem,Xavier Becerra,34,,
Sutter,LO Comm 01 ,Insurance Commissioner,,Dem,Ricardo Lara,440,,
Sutter,LO Comm 02 ,Insurance Commissioner,,Dem,Ricardo Lara,495,,
Sutter,Dell Wayne 03,Insurance Commissioner,,Dem,Ricardo Lara,205,,
Sutter,United Pent 04,Insurance Commissioner,,Dem,Ricardo Lara,428,,
Sutter,United Pent 05,Insurance Commissioner,,Dem,Ricardo Lara,267,,
Sutter,7th Day 06,Insurance Commissioner,,Dem,Ricardo Lara,54,,
Sutter,Sutter Estates 07,Insurance Commissioner,,Dem,Ricardo Lara,124,,
Sutter,YS Fair 08,Insurance Commissioner,,Dem,Ricardo Lara,182,,
Sutter,YS Fair 09,Insurance Commissioner,,Dem,Ricardo Lara,157,,
Sutter,St Isidore 10,Insurance Commissioner,,Dem,Ricardo Lara,137,,
Sutter,Sutter HS 11,Insurance Commissioner,,Dem,Ricardo Lara,130,,
Sutter,Sutter HS 12,Insurance Commissioner,,Dem,Ricardo Lara,137,,
Sutter,Franklin 13,Insurance Commissioner,,Dem,Ricardo Lara,59,,
Sutter,Meridian 14,Insurance Commissioner,,Dem,Ricardo Lara,37,,
Sutter,1st United 15,Insurance Commissioner,,Dem,Ricardo Lara,360,,
Sutter,1st United 16,Insurance Commissioner,,Dem,Ricardo Lara,214,,
Sutter,Veterans 17,Insurance Commissioner,,Dem,Ricardo Lara,130,,
Sutter,Veterans 18,Insurance Commissioner,,Dem,Ricardo Lara,161,,
Sutter,Veterans 19,Insurance Commissioner,,Dem,Ricardo Lara,205,,
Sutter,Veterans 20,Insurance Commissioner,,Dem,Ricardo Lara,300,,
Sutter,St Andrew 21,Insurance Commissioner,,Dem,Ricardo Lara,444,,
Sutter,St Andrew 22,Insurance Commissioner,,Dem,Ricardo Lara,403,,
Sutter,AK School 23,Insurance Commissioner,,Dem,Ricardo Lara,452,,
Sutter,AK School 24,Insurance Commissioner,,Dem,Ricardo Lara,635,,
Sutter,St James 25,Insurance Commissioner,,Dem,Ricardo Lara,165,,
Sutter,Walnut 26,Insurance Commissioner,,Dem,Ricardo Lara,177,,
Sutter,Walnut 27,Insurance Commissioner,,Dem,Ricardo Lara,139,,
Sutter,NV Calvary 28,Insurance Commissioner,,Dem,Ricardo Lara,399,,
Sutter,NV Calvary 29,Insurance Commissioner,,Dem,Ricardo Lara,315,,
Sutter,Riverbend 30,Insurance Commissioner,,Dem,Ricardo Lara,333,,
Sutter,1st Reform 31,Insurance Commissioner,,Dem,Ricardo Lara,51,,
Sutter,P Grove 32,Insurance Commissioner,,Dem,Ricardo Lara,54,,
Sutter,E Nicolaus 33,Insurance Commissioner,,Dem,Ricardo Lara,122,,
Sutter,34,Insurance Commissioner,,Dem,Ricardo Lara,141,,
Sutter,35,Insurance Commissioner,,Dem,Ricardo Lara,97,,
Sutter,36,Insurance Commissioner,,Dem,Ricardo Lara,36,,
Sutter,37,Insurance Commissioner,,Dem,Ricardo Lara,164,,
Sutter,38,Insurance Commissioner,,Dem,Ricardo Lara,88,,
Sutter,39,Insurance Commissioner,,Dem,Ricardo Lara,37,,
Sutter,40,Insurance Commissioner,,Dem,Ricardo Lara,167,,
Sutter,41,Insurance Commissioner,,Dem,Ricardo Lara,213,,
Sutter,42,Insurance Commissioner,,Dem,Ricardo Lara,153,,
Sutter,43,Insurance Commissioner,,Dem,Ricardo Lara,158,,
Sutter,44,Insurance Commissioner,,Dem,Ricardo Lara,282,,
Sutter,45,Insurance Commissioner,,Dem,Ricardo Lara,73,,
Sutter,46,Insurance Commissioner,,Dem,Ricardo Lara,8,,
Sutter,47,Insurance Commissioner,,Dem,Ricardo Lara,10,,
Sutter,48,Insurance Commissioner,,Dem,Ricardo Lara,87,,
Sutter,49,Insurance Commissioner,,Dem,Ricardo Lara,79,,
Sutter,50,Insurance Commissioner,,Dem,Ricardo Lara,31,,
Sutter,LO Comm 01 ,Insurance Commissioner,,NPP,Steve Poizner,394,,
Sutter,LO Comm 02 ,Insurance Commissioner,,NPP,Steve Poizner,524,,
Sutter,Dell Wayne 03,Insurance Commissioner,,NPP,Steve Poizner,353,,
Sutter,United Pent 04,Insurance Commissioner,,NPP,Steve Poizner,899,,
Sutter,United Pent 05,Insurance Commissioner,,NPP,Steve Poizner,556,,
Sutter,7th Day 06,Insurance Commissioner,,NPP,Steve Poizner,147,,
Sutter,Sutter Estates 07,Insurance Commissioner,,NPP,Steve Poizner,143,,
Sutter,YS Fair 08,Insurance Commissioner,,NPP,Steve Poizner,145,,
Sutter,YS Fair 09,Insurance Commissioner,,NPP,Steve Poizner,294,,
Sutter,St Isidore 10,Insurance Commissioner,,NPP,Steve Poizner,291,,
Sutter,Sutter HS 11,Insurance Commissioner,,NPP,Steve Poizner,663,,
Sutter,Sutter HS 12,Insurance Commissioner,,NPP,Steve Poizner,557,,
Sutter,Franklin 13,Insurance Commissioner,,NPP,Steve Poizner,240,,
Sutter,Meridian 14,Insurance Commissioner,,NPP,Steve Poizner,182,,
Sutter,1st United 15,Insurance Commissioner,,NPP,Steve Poizner,501,,
Sutter,1st United 16,Insurance Commissioner,,NPP,Steve Poizner,669,,
Sutter,Veterans 17,Insurance Commissioner,,NPP,Steve Poizner,308,,
Sutter,Veterans 18,Insurance Commissioner,,NPP,Steve Poizner,472,,
Sutter,Veterans 19,Insurance Commissioner,,NPP,Steve Poizner,544,,
Sutter,Veterans 20,Insurance Commissioner,,NPP,Steve Poizner,536,,
Sutter,St Andrew 21,Insurance Commissioner,,NPP,Steve Poizner,394,,
Sutter,St Andrew 22,Insurance Commissioner,,NPP,Steve Poizner,548,,
Sutter,AK School 23,Insurance Commissioner,,NPP,Steve Poizner,543,,
Sutter,AK School 24,Insurance Commissioner,,NPP,Steve Poizner,559,,
Sutter,St James 25,Insurance Commissioner,,NPP,Steve Poizner,246,,
Sutter,Walnut 26,Insurance Commissioner,,NPP,Steve Poizner,496,,
Sutter,Walnut 27,Insurance Commissioner,,NPP,Steve Poizner,474,,
Sutter,NV Calvary 28,Insurance Commissioner,,NPP,Steve Poizner,630,,
Sutter,NV Calvary 29,Insurance Commissioner,,NPP,Steve Poizner,481,,
Sutter,Riverbend 30,Insurance Commissioner,,NPP,Steve Poizner,417,,
Sutter,1st Reform 31,Insurance Commissioner,,NPP,Steve Poizner,143,,
Sutter,P Grove 32,Insurance Commissioner,,NPP,Steve Poizner,296,,
Sutter,E Nicolaus 33,Insurance Commissioner,,NPP,Steve Poizner,472,,
Sutter,34,Insurance Commissioner,,NPP,Steve Poizner,431,,
Sutter,35,Insurance Commissioner,,NPP,Steve Poizner,283,,
Sutter,36,Insurance Commissioner,,NPP,Steve Poizner,87,,
Sutter,37,Insurance Commissioner,,NPP,Steve Poizner,462,,
Sutter,38,Insurance Commissioner,,NPP,Steve Poizner,236,,
Sutter,39,Insurance Commissioner,,NPP,Steve Poizner,108,,
Sutter,40,Insurance Commissioner,,NPP,Steve Poizner,279,,
Sutter,41,Insurance Commissioner,,NPP,Steve Poizner,335,,
Sutter,42,Insurance Commissioner,,NPP,Steve Poizner,279,,
Sutter,43,Insurance Commissioner,,NPP,Steve Poizner,211,,
Sutter,44,Insurance Commissioner,,NPP,Steve Poizner,366,,
Sutter,45,Insurance Commissioner,,NPP,Steve Poizner,209,,
Sutter,46,Insurance Commissioner,,NPP,Steve Poizner,59,,
Sutter,47,Insurance Commissioner,,NPP,Steve Poizner,42,,
Sutter,48,Insurance Commissioner,,NPP,Steve Poizner,181,,
Sutter,49,Insurance Commissioner,,NPP,Steve Poizner,284,,
Sutter,50,Insurance Commissioner,,NPP,Steve Poizner,39,,
Sutter,LO Comm 01 ,US Senate,,Dem,Dianne Feinstein,356,,
Sutter,LO Comm 02 ,US Senate,,Dem,Dianne Feinstein,423,,
Sutter,Dell Wayne 03,US Senate,,Dem,Dianne Feinstein,219,,
Sutter,United Pent 04,US Senate,,Dem,Dianne Feinstein,522,,
Sutter,United Pent 05,US Senate,,Dem,Dianne Feinstein,288,,
Sutter,7th Day 06,US Senate,,Dem,Dianne Feinstein,90,,
Sutter,Sutter Estates 07,US Senate,,Dem,Dianne Feinstein,112,,
Sutter,YS Fair 08,US Senate,,Dem,Dianne Feinstein,122,,
Sutter,YS Fair 09,US Senate,,Dem,Dianne Feinstein,159,,
Sutter,St Isidore 10,US Senate,,Dem,Dianne Feinstein,180,,
Sutter,Sutter HS 11,US Senate,,Dem,Dianne Feinstein,211,,
Sutter,Sutter HS 12,US Senate,,Dem,Dianne Feinstein,183,,
Sutter,Franklin 13,US Senate,,Dem,Dianne Feinstein,91,,
Sutter,Meridian 14,US Senate,,Dem,Dianne Feinstein,48,,
Sutter,1st United 15,US Senate,,Dem,Dianne Feinstein,363,,
Sutter,1st United 16,US Senate,,Dem,Dianne Feinstein,287,,
Sutter,Veterans 17,US Senate,,Dem,Dianne Feinstein,161,,
Sutter,Veterans 18,US Senate,,Dem,Dianne Feinstein,210,,
Sutter,Veterans 19,US Senate,,Dem,Dianne Feinstein,286,,
Sutter,Veterans 20,US Senate,,Dem,Dianne Feinstein,335,,
Sutter,St Andrew 21,US Senate,,Dem,Dianne Feinstein,349,,
Sutter,St Andrew 22,US Senate,,Dem,Dianne Feinstein,417,,
Sutter,AK School 23,US Senate,,Dem,Dianne Feinstein,421,,
Sutter,AK School 24,US Senate,,Dem,Dianne Feinstein,571,,
Sutter,St James 25,US Senate,,Dem,Dianne Feinstein,165,,
Sutter,Walnut 26,US Senate,,Dem,Dianne Feinstein,243,,
Sutter,Walnut 27,US Senate,,Dem,Dianne Feinstein,205,,
Sutter,NV Calvary 28,US Senate,,Dem,Dianne Feinstein,404,,
Sutter,NV Calvary 29,US Senate,,Dem,Dianne Feinstein,329,,
Sutter,Riverbend 30,US Senate,,Dem,Dianne Feinstein,307,,
Sutter,1st Reform 31,US Senate,,Dem,Dianne Feinstein,59,,
Sutter,P Grove 32,US Senate,,Dem,Dianne Feinstein,119,,
Sutter,E Nicolaus 33,US Senate,,Dem,Dianne Feinstein,216,,
Sutter,34,US Senate,,Dem,Dianne Feinstein,218,,
Sutter,35,US Senate,,Dem,Dianne Feinstein,129,,
Sutter,36,US Senate,,Dem,Dianne Feinstein,35,,
Sutter,37,US Senate,,Dem,Dianne Feinstein,227,,
Sutter,38,US Senate,,Dem,Dianne Feinstein,88,,
Sutter,39,US Senate,,Dem,Dianne Feinstein,51,,
Sutter,40,US Senate,,Dem,Dianne Feinstein,176,,
Sutter,41,US Senate,,Dem,Dianne Feinstein,197,,
Sutter,42,US Senate,,Dem,Dianne Feinstein,164,,
Sutter,43,US Senate,,Dem,Dianne Feinstein,132,,
Sutter,44,US Senate,,Dem,Dianne Feinstein,268,,
Sutter,45,US Senate,,Dem,Dianne Feinstein,80,,
Sutter,46,US Senate,,Dem,Dianne Feinstein,17,,
Sutter,47,US Senate,,Dem,Dianne Feinstein,11,,
Sutter,48,US Senate,,Dem,Dianne Feinstein,99,,
Sutter,49,US Senate,,Dem,Dianne Feinstein,133,,
Sutter,50,US Senate,,Dem,Dianne Feinstein,25,,
Sutter,LO Comm 01 ,US Senate,,Dem,Kevin DeLeon,443,,
Sutter,LO Comm 02 ,US Senate,,Dem,Kevin DeLeon,555,,
Sutter,Dell Wayne 03,US Senate,,Dem,Kevin DeLeon,275,,
Sutter,United Pent 04,US Senate,,Dem,Kevin DeLeon,640,,
Sutter,United Pent 05,US Senate,,Dem,Kevin DeLeon,431,,
Sutter,7th Day 06,US Senate,,Dem,Kevin DeLeon,92,,
Sutter,Sutter Estates 07,US Senate,,Dem,Kevin DeLeon,146,,
Sutter,YS Fair 08,US Senate,,Dem,Kevin DeLeon,180,,
Sutter,YS Fair 09,US Senate,,Dem,Kevin DeLeon,235,,
Sutter,St Isidore 10,US Senate,,Dem,Kevin DeLeon,197,,
Sutter,Sutter HS 11,US Senate,,Dem,Kevin DeLeon,435,,
Sutter,Sutter HS 12,US Senate,,Dem,Kevin DeLeon,426,,
Sutter,Franklin 13,US Senate,,Dem,Kevin DeLeon,154,,
Sutter,Meridian 14,US Senate,,Dem,Kevin DeLeon,129,,
Sutter,1st United 15,US Senate,,Dem,Kevin DeLeon,393,,
Sutter,1st United 16,US Senate,,Dem,Kevin DeLeon,448,,
Sutter,Veterans 17,US Senate,,Dem,Kevin DeLeon,234,,
Sutter,Veterans 18,US Senate,,Dem,Kevin DeLeon,324,,
Sutter,Veterans 19,US Senate,,Dem,Kevin DeLeon,357,,
Sutter,Veterans 20,US Senate,,Dem,Kevin DeLeon,418,,
Sutter,St Andrew 21,US Senate,,Dem,Kevin DeLeon,457,,
Sutter,St Andrew 22,US Senate,,Dem,Kevin DeLeon,451,,
Sutter,AK School 23,US Senate,,Dem,Kevin DeLeon,488,,
Sutter,AK School 24,US Senate,,Dem,Kevin DeLeon,559,,
Sutter,St James 25,US Senate,,Dem,Kevin DeLeon,202,,
Sutter,Walnut 26,US Senate,,Dem,Kevin DeLeon,341,,
Sutter,Walnut 27,US Senate,,Dem,Kevin DeLeon,309,,
Sutter,NV Calvary 28,US Senate,,Dem,Kevin DeLeon,511,,
Sutter,NV Calvary 29,US Senate,,Dem,Kevin DeLeon,403,,
Sutter,Riverbend 30,US Senate,,Dem,Kevin DeLeon,374,,
Sutter,1st Reform 31,US Senate,,Dem,Kevin DeLeon,116,,
Sutter,P Grove 32,US Senate,,Dem,Kevin DeLeon,169,,
Sutter,E Nicolaus 33,US Senate,,Dem,Kevin DeLeon,303,,
Sutter,34,US Senate,,Dem,Kevin DeLeon,270,,
Sutter,35,US Senate,,Dem,Kevin DeLeon,188,,
Sutter,36,US Senate,,Dem,Kevin DeLeon,70,,
