candidate,office,district,party,county,precinct,mail,election_day,votes
Amanda Renteria,Governor,,DEM,Kings,1102,0,1,1
Delaine Eastin,Governor,,DEM,Kings,1102,0,4,4
Jeffrey Edward Taylor,Governor,,NON,Kings,1102,0,0,0
Klement Tinaj,Governor,,DEM,Kings,1102,0,0,0
"Hakan ""Hawk"" Mikado",Governor,,NON,Kings,1102,0,0,0
Albert Caesar Mezzetti,Governor,,DEM,Kings,1102,0,1,1
Gavin Newsom,Governor,,DEM,Kings,1102,0,15,15
"Robert C. Newman, II",Governor,,REP,Kings,1102,0,0,0
Jeff Bleich,Lieutenant Governor,,DEM,Kings,1102,0,14,14
Eleni Kounalakis,Lieutenant Governor,,DEM,Kings,1102,0,10,10
Cameron Gharabiklou,Lieutenant Governor,,DEM,Kings,1102,0,2,2
Tim Ferreira,Lieutenant Governor,,LIB,Kings,1102,0,5,5
David Fennell,Lieutenant Governor,,REP,Kings,1102,0,35,35
Danny Thomas,Lieutenant Governor,,NON,Kings,1102,0,2,2
Cole Harris,Lieutenant Governor,,REP,Kings,1102,0,69,69
Ed Hernandez,Lieutenant Governor,,DEM,Kings,1102,0,35,35
David R Hernandez,Lieutenant Governor,,REP,Kings,1102,0,20,20
Lydia Ortega,Lieutenant Governor,,REP,Kings,1102,0,24,24
Gayle McLaughlin,Lieutenant Governor,,NON,Kings,1102,0,4,4
Alex Padilla,Secretary of State,,DEM,Kings,1102,0,60,60
Gail K Lightfoot,Secretary of State,,LIB,Kings,1102,0,7,7
C T Weber,Secretary of State,,PF,Kings,1102,0,2,2
Erik Rydberg,Secretary of State,,GRN,Kings,1102,0,0,0
Raul Rodriguez Jr,Secretary of State,,REP,Kings,1102,0,19,19
Michael Feinstein,Secretary of State,,GRN,Kings,1102,0,0,0
Ruben Major,Secretary of State,,DEM,Kings,1102,0,5,5
Mark P Meuser,Secretary of State,,REP,Kings,1102,0,127,127
Konstantinos Roditis,Controller,,REP,Kings,1102,0,133,133
Mary Lou Finley,Controller,,PF,Kings,1102,0,13,13
Betty T Yee,Controller,,DEM,Kings,1102,0,78,78
Vivek Viswanathan,Treasurer,,DEM,Kings,1102,0,17,17
Jack M Guerrero,Treasurer,,REP,Kings,1102,0,66,66
Kevin Akin,Treasurer,,PF,Kings,1102,0,2,2
Greg Conlon,Treasurer,,REP,Kings,1102,0,92,92
Fiona Ma,Treasurer,,DEM,Kings,1102,0,43,43
Dave Jones,Attorney General,,DEM,Kings,1102,0,27,27
Steven C Bailey,Attorney General,,REP,Kings,1102,0,94,94
Xavier Becerra,Attorney General,,DEM,Kings,1102,0,37,37
Eric Early,Attorney General,,REP,Kings,1102,0,66,66
Steve Poizner,Insurance Commissioner,,NON,Kings,1102,0,131,131
Ricardo Lara,Insurance Commissioner,,DEM,Kings,1102,0,49,49
Nathalie Hrizi,Insurance Commissioner,,PF,Kings,1102,0,8,8
Asif Mahmood,Insurance Commissioner,,DEM,Kings,1102,0,19,19
Gerald Plummer,U.S. Senate,,DEM,Kings,1102,0,6,6
Tom Palzer,U.S. Senate,,REP,Kings,1102,0,28,28
John Thompson Parker,U.S. Senate,,PF,Kings,1102,0,1,1
Douglas Howard Pierce,U.S. Senate,,DEM,Kings,1102,0,2,2
Herbert G Peters,U.S. Senate,,DEM,Kings,1102,0,0,0
James P Bradley,U.S. Senate,,REP,Kings,1102,0,29,29
Arun K Bhumitra,U.S. Senate,,REP,Kings,1102,0,18,18
Jerry Joseph Laws,U.S. Senate,,REP,Kings,1102,0,5,5
Patrick Little,U.S. Senate,,REP,Kings,1102,0,3,3
Tim Gildersleeve,U.S. Senate,,NON,Kings,1102,0,0,0
Michael Fahmy Girgis,U.S. Senate,,NON,Kings,1102,0,0,0
Don J Grundmann,U.S. Senate,,NON,Kings,1102,0,0,0
Rash Bihari Ghosh,U.S. Senate,,NON,Kings,1102,0,0,0
Ling Ling Shi,U.S. Senate,,NON,Kings,1102,0,1,1
"John ""Jack"" Crew",U.S. Senate,,REP,Kings,1102,0,11,11
Erin Cruz,U.S. Senate,,REP,Kings,1102,0,15,15
Derrick Michael Reid,U.S. Senate,,LIB,Kings,1102,0,4,4
Dianne Feinstein,U.S. Senate,,DEM,Kings,1102,0,52,52
Colleen Shea Fernald,U.S. Senate,,NON,Kings,1102,0,0,0
Adrienne Nicole Edward,U.S. Senate,,DEM,Kings,1102,0,0,0
Paul A Taylor,U.S. Senate,,REP,Kings,1102,0,16,16
Donnie O Turner,U.S. Senate,,DEM,Kings,1102,0,0,0
Pat Harris,U.S. Senate,,DEM,Kings,1102,0,1,1
Alison Hartson,U.S. Senate,,DEM,Kings,1102,0,1,1
Jason M Hanania,U.S. Senate,,NON,Kings,1102,0,1,1
David Hildebrand,U.S. Senate,,DEM,Kings,1102,0,0,0
Lee Olson,U.S. Senate,,NON,Kings,1102,0,0,0
"Roque ""Rocky"" De La Fuente",U.S. Senate,,REP,Kings,1102,0,2,2
Kevin De Leon,U.S. Senate,,DEM,Kings,1102,0,9,9
Kevin Mottus,U.S. Senate,,REP,Kings,1102,0,6,6
David Moore,U.S. Senate,,NON,Kings,1102,0,1,1
Mario Nabliba,U.S. Senate,,REP,Kings,1102,0,6,6
Andy Vidak,State Senate,14,REP,Kings,1102,0,177,177
Ruben Macareno,State Senate,14,DEM,Kings,1102,0,12,12
Abigail Solis,State Senate,14,DEM,Kings,1102,0,22,22
Melissa Hurtado,State Senate,14,DEM,Kings,1102,0,21,21
Justin Mendes,State Assembly,32,REP,Kings,1102,0,158,158
Rudy Salas,State Assembly,32,DEM,Kings,1102,0,75,75
,Registered Voters,,,Kings,1103,,,76
,Ballots Cast,,,Kings,1103,0,19,19
Josh Jones,Governor,,GRN,Kings,1103,0,0,0
J Bribiesca,Governor,,DEM,Kings,1103,0,0,0
Gloria Estela La Riva,Governor,,PF,Kings,1103,0,0,0
Peter Y Liu,Governor,,REP,Kings,1103,0,0,0
Antonio Villaraigosa,Governor,,DEM,Kings,1103,0,2,2
Yvonne Girard,Governor,,REP,Kings,1103,0,0,0
Robert Davidson Griffis,Governor,,DEM,Kings,1103,0,0,0
Shubham Goel,Governor,,NON,Kings,1103,0,0,0
Travis Allen,Governor,,REP,Kings,1103,0,4,4
Akinyemi Agbede,Governor,,DEM,Kings,1103,0,0,0
Johnny Wattenburg,Governor,,NON,Kings,1103,0,0,0
Nickolas Wildstar,Governor,,LIB,Kings,1103,0,0,0
Desmond Silveira,Governor,,NON,Kings,1103,0,0,0
Michael Shellenberger,Governor,,DEM,Kings,1103,0,0,0
Zoltan Istvan,Governor,,LIB,Kings,1103,0,0,0
Christopher N Carlson,Governor,,GRN,Kings,1103,0,0,0
Thomas Jefferson Cares,Governor,,DEM,Kings,1103,0,0,0
John Chiang,Governor,,DEM,Kings,1103,0,2,2
John H Cox,Governor,,REP,Kings,1103,0,11,11
Amanda Renteria,Governor,,DEM,Kings,1103,0,0,0
Delaine Eastin,Governor,,DEM,Kings,1103,0,0,0
Jeffrey Edward Taylor,Governor,,NON,Kings,1103,0,0,0
Klement Tinaj,Governor,,DEM,Kings,1103,0,0,0
"Hakan ""Hawk"" Mikado",Governor,,NON,Kings,1103,0,0,0
Albert Caesar Mezzetti,Governor,,DEM,Kings,1103,0,0,0
Gavin Newsom,Governor,,DEM,Kings,1103,0,0,0
"Robert C. Newman, II",Governor,,REP,Kings,1103,0,0,0
Jeff Bleich,Lieutenant Governor,,DEM,Kings,1103,0,0,0
Eleni Kounalakis,Lieutenant Governor,,DEM,Kings,1103,0,1,1
Cameron Gharabiklou,Lieutenant Governor,,DEM,Kings,1103,0,0,0
Tim Ferreira,Lieutenant Governor,,LIB,Kings,1103,0,0,0
David Fennell,Lieutenant Governor,,REP,Kings,1103,0,1,1
Danny Thomas,Lieutenant Governor,,NON,Kings,1103,0,0,0
Cole Harris,Lieutenant Governor,,REP,Kings,1103,0,8,8
Ed Hernandez,Lieutenant Governor,,DEM,Kings,1103,0,4,4
David R Hernandez,Lieutenant Governor,,REP,Kings,1103,0,1,1
Lydia Ortega,Lieutenant Governor,,REP,Kings,1103,0,2,2
Gayle McLaughlin,Lieutenant Governor,,NON,Kings,1103,0,0,0
Alex Padilla,Secretary of State,,DEM,Kings,1103,0,4,4
Gail K Lightfoot,Secretary of State,,LIB,Kings,1103,0,0,0
C T Weber,Secretary of State,,PF,Kings,1103,0,0,0
Erik Rydberg,Secretary of State,,GRN,Kings,1103,0,0,0
Raul Rodriguez Jr,Secretary of State,,REP,Kings,1103,0,2,2
Michael Feinstein,Secretary of State,,GRN,Kings,1103,0,0,0
Ruben Major,Secretary of State,,DEM,Kings,1103,0,0,0
Mark P Meuser,Secretary of State,,REP,Kings,1103,0,12,12
Konstantinos Roditis,Controller,,REP,Kings,1103,0,14,14
Mary Lou Finley,Controller,,PF,Kings,1103,0,0,0
Betty T Yee,Controller,,DEM,Kings,1103,0,4,4
Vivek Viswanathan,Treasurer,,DEM,Kings,1103,0,2,2
Jack M Guerrero,Treasurer,,REP,Kings,1103,0,8,8
Kevin Akin,Treasurer,,PF,Kings,1103,0,0,0
Greg Conlon,Treasurer,,REP,Kings,1103,0,8,8
Fiona Ma,Treasurer,,DEM,Kings,1103,0,1,1
Dave Jones,Attorney General,,DEM,Kings,1103,0,1,1
Steven C Bailey,Attorney General,,REP,Kings,1103,0,8,8
Xavier Becerra,Attorney General,,DEM,Kings,1103,0,3,3
Eric Early,Attorney General,,REP,Kings,1103,0,7,7
Steve Poizner,Insurance Commissioner,,NON,Kings,1103,0,15,15
Ricardo Lara,Insurance Commissioner,,DEM,Kings,1103,0,3,3
Nathalie Hrizi,Insurance Commissioner,,PF,Kings,1103,0,0,0
Asif Mahmood,Insurance Commissioner,,DEM,Kings,1103,0,0,0
Gerald Plummer,U.S. Senate,,DEM,Kings,1103,0,0,0
Tom Palzer,U.S. Senate,,REP,Kings,1103,0,4,4
John Thompson Parker,U.S. Senate,,PF,Kings,1103,0,0,0
Douglas Howard Pierce,U.S. Senate,,DEM,Kings,1103,0,0,0
Herbert G Peters,U.S. Senate,,DEM,Kings,1103,0,0,0
James P Bradley,U.S. Senate,,REP,Kings,1103,0,2,2
Arun K Bhumitra,U.S. Senate,,REP,Kings,1103,0,1,1
Jerry Joseph Laws,U.S. Senate,,REP,Kings,1103,0,0,0
Patrick Little,U.S. Senate,,REP,Kings,1103,0,0,0
Tim Gildersleeve,U.S. Senate,,NON,Kings,1103,0,0,0
Michael Fahmy Girgis,U.S. Senate,,NON,Kings,1103,0,0,0
Don J Grundmann,U.S. Senate,,NON,Kings,1103,0,0,0
Rash Bihari Ghosh,U.S. Senate,,NON,Kings,1103,0,0,0
Ling Ling Shi,U.S. Senate,,NON,Kings,1103,0,0,0
"John ""Jack"" Crew",U.S. Senate,,REP,Kings,1103,0,0,0
Erin Cruz,U.S. Senate,,REP,Kings,1103,0,3,3
Derrick Michael Reid,U.S. Senate,,LIB,Kings,1103,0,0,0
Dianne Feinstein,U.S. Senate,,DEM,Kings,1103,0,2,2
Colleen Shea Fernald,U.S. Senate,,NON,Kings,1103,0,0,0
Adrienne Nicole Edward,U.S. Senate,,DEM,Kings,1103,0,0,0
Paul A Taylor,U.S. Senate,,REP,Kings,1103,0,2,2
Donnie O Turner,U.S. Senate,,DEM,Kings,1103,0,0,0
Pat Harris,U.S. Senate,,DEM,Kings,1103,0,0,0
Alison Hartson,U.S. Senate,,DEM,Kings,1103,0,0,0
Jason M Hanania,U.S. Senate,,NON,Kings,1103,0,0,0
David Hildebrand,U.S. Senate,,DEM,Kings,1103,0,0,0
Lee Olson,U.S. Senate,,NON,Kings,1103,0,0,0
"Roque ""Rocky"" De La Fuente",U.S. Senate,,REP,Kings,1103,0,0,0
Kevin De Leon,U.S. Senate,,DEM,Kings,1103,0,0,0
Kevin Mottus,U.S. Senate,,REP,Kings,1103,0,0,0
David Moore,U.S. Senate,,NON,Kings,1103,0,0,0
Mario Nabliba,U.S. Senate,,REP,Kings,1103,0,2,2
Andy Vidak,State Senate,14,REP,Kings,1103,0,17,17
Ruben Macareno,State Senate,14,DEM,Kings,1103,0,0,0
Abigail Solis,State Senate,14,DEM,Kings,1103,0,0,0
Melissa Hurtado,State Senate,14,DEM,Kings,1103,0,0,0
Justin Mendes,State Assembly,32,REP,Kings,1103,0,14,14
Rudy Salas,State Assembly,32,DEM,Kings,1103,0,5,5
,Registered Voters,,,Kings,1104,,,916
,Ballots Cast,,,Kings,1104,0,35,35
Josh Jones,Governor,,GRN,Kings,1104,0,0,0
J Bribiesca,Governor,,DEM,Kings,1104,0,0,0
Gloria Estela La Riva,Governor,,PF,Kings,1104,0,1,1
Peter Y Liu,Governor,,REP,Kings,1104,0,0,0
Antonio Villaraigosa,Governor,,DEM,Kings,1104,0,5,5
Yvonne Girard,Governor,,REP,Kings,1104,0,3,3
Robert Davidson Griffis,Governor,,DEM,Kings,1104,0,0,0
Shubham Goel,Governor,,NON,Kings,1104,0,0,0
Travis Allen,Governor,,REP,Kings,1104,0,5,5
Akinyemi Agbede,Governor,,DEM,Kings,1104,0,0,0
Johnny Wattenburg,Governor,,NON,Kings,1104,0,0,0
Nickolas Wildstar,Governor,,LIB,Kings,1104,0,0,0
Desmond Silveira,Governor,,NON,Kings,1104,0,0,0
Michael Shellenberger,Governor,,DEM,Kings,1104,0,1,1
Zoltan Istvan,Governor,,LIB,Kings,1104,0,0,0
Christopher N Carlson,Governor,,GRN,Kings,1104,0,0,0
Thomas Jefferson Cares,Governor,,DEM,Kings,1104,0,0,0
John Chiang,Governor,,DEM,Kings,1104,0,2,2
John H Cox,Governor,,REP,Kings,1104,0,7,7
Amanda Renteria,Governor,,DEM,Kings,1104,0,0,0
Delaine Eastin,Governor,,DEM,Kings,1104,0,3,3
Jeffrey Edward Taylor,Governor,,NON,Kings,1104,0,0,0
Klement Tinaj,Governor,,DEM,Kings,1104,0,0,0
"Hakan ""Hawk"" Mikado",Governor,,NON,Kings,1104,0,0,0
Albert Caesar Mezzetti,Governor,,DEM,Kings,1104,0,0,0
Gavin Newsom,Governor,,DEM,Kings,1104,0,6,6
"Robert C. Newman, II",Governor,,REP,Kings,1104,0,2,2
Jeff Bleich,Lieutenant Governor,,DEM,Kings,1104,0,7,7
Eleni Kounalakis,Lieutenant Governor,,DEM,Kings,1104,0,7,7
Cameron Gharabiklou,Lieutenant Governor,,DEM,Kings,1104,0,0,0
Tim Ferreira,Lieutenant Governor,,LIB,Kings,1104,0,1,1
David Fennell,Lieutenant Governor,,REP,Kings,1104,0,2,2
Danny Thomas,Lieutenant Governor,,NON,Kings,1104,0,0,0
Cole Harris,Lieutenant Governor,,REP,Kings,1104,0,1,1
Ed Hernandez,Lieutenant Governor,,DEM,Kings,1104,0,1,1
David R Hernandez,Lieutenant Governor,,REP,Kings,1104,0,4,4
Lydia Ortega,Lieutenant Governor,,REP,Kings,1104,0,9,9
Gayle McLaughlin,Lieutenant Governor,,NON,Kings,1104,0,1,1
Alex Padilla,Secretary of State,,DEM,Kings,1104,0,12,12
Gail K Lightfoot,Secretary of State,,LIB,Kings,1104,0,3,3
C T Weber,Secretary of State,,PF,Kings,1104,0,1,1
Erik Rydberg,Secretary of State,,GRN,Kings,1104,0,0,0
Raul Rodriguez Jr,Secretary of State,,REP,Kings,1104,0,5,5
Michael Feinstein,Secretary of State,,GRN,Kings,1104,0,0,0
Ruben Major,Secretary of State,,DEM,Kings,1104,0,2,2
Mark P Meuser,Secretary of State,,REP,Kings,1104,0,10,10
Konstantinos Roditis,Controller,,REP,Kings,1104,0,16,16
Mary Lou Finley,Controller,,PF,Kings,1104,0,3,3
Betty T Yee,Controller,,DEM,Kings,1104,0,13,13
Vivek Viswanathan,Treasurer,,DEM,Kings,1104,0,5,5
Jack M Guerrero,Treasurer,,REP,Kings,1104,0,12,12
Kevin Akin,Treasurer,,PF,Kings,1104,0,2,2
Greg Conlon,Treasurer,,REP,Kings,1104,0,4,4
Fiona Ma,Treasurer,,DEM,Kings,1104,0,7,7
Dave Jones,Attorney General,,DEM,Kings,1104,0,6,6
Steven C Bailey,Attorney General,,REP,Kings,1104,0,9,9
Xavier Becerra,Attorney General,,DEM,Kings,1104,0,8,8
Eric Early,Attorney General,,REP,Kings,1104,0,9,9
Steve Poizner,Insurance Commissioner,,NON,Kings,1104,0,13,13
Ricardo Lara,Insurance Commissioner,,DEM,Kings,1104,0,6,6
Nathalie Hrizi,Insurance Commissioner,,PF,Kings,1104,0,4,4
Asif Mahmood,Insurance Commissioner,,DEM,Kings,1104,0,9,9
Gerald Plummer,U.S. Senate,,DEM,Kings,1104,0,1,1
Tom Palzer,U.S. Senate,,REP,Kings,1104,0,3,3
John Thompson Parker,U.S. Senate,,PF,Kings,1104,0,1,1
Douglas Howard Pierce,U.S. Senate,,DEM,Kings,1104,0,0,0
Herbert G Peters,U.S. Senate,,DEM,Kings,1104,0,0,0
James P Bradley,U.S. Senate,,REP,Kings,1104,0,4,4
Arun K Bhumitra,U.S. Senate,,REP,Kings,1104,0,0,0
Jerry Joseph Laws,U.S. Senate,,REP,Kings,1104,0,0,0
Patrick Little,U.S. Senate,,REP,Kings,1104,0,2,2
Tim Gildersleeve,U.S. Senate,,NON,Kings,1104,0,0,0
Michael Fahmy Girgis,U.S. Senate,,NON,Kings,1104,0,1,1
Don J Grundmann,U.S. Senate,,NON,Kings,1104,0,0,0
Rash Bihari Ghosh,U.S. Senate,,NON,Kings,1104,0,0,0
Ling Ling Shi,U.S. Senate,,NON,Kings,1104,0,0,0
"John ""Jack"" Crew",U.S. Senate,,REP,Kings,1104,0,1,1
Erin Cruz,U.S. Senate,,REP,Kings,1104,0,3,3
Derrick Michael Reid,U.S. Senate,,LIB,Kings,1104,0,1,1
Dianne Feinstein,U.S. Senate,,DEM,Kings,1104,0,11,11
Colleen Shea Fernald,U.S. Senate,,NON,Kings,1104,0,0,0
Adrienne Nicole Edward,U.S. Senate,,DEM,Kings,1104,0,0,0
Paul A Taylor,U.S. Senate,,REP,Kings,1104,0,0,0
Donnie O Turner,U.S. Senate,,DEM,Kings,1104,0,1,1
Pat Harris,U.S. Senate,,DEM,Kings,1104,0,0,0
Alison Hartson,U.S. Senate,,DEM,Kings,1104,0,2,2
Jason M Hanania,U.S. Senate,,NON,Kings,1104,0,0,0
David Hildebrand,U.S. Senate,,DEM,Kings,1104,0,0,0
Lee Olson,U.S. Senate,,NON,Kings,1104,0,0,0
"Roque ""Rocky"" De La Fuente",U.S. Senate,,REP,Kings,1104,0,0,0
Kevin De Leon,U.S. Senate,,DEM,Kings,1104,0,1,1
Kevin Mottus,U.S. Senate,,REP,Kings,1104,0,0,0
David Moore,U.S. Senate,,NON,Kings,1104,0,0,0
Mario Nabliba,U.S. Senate,,REP,Kings,1104,0,2,2
Andy Vidak,State Senate,14,REP,Kings,1104,0,16,16
Ruben Macareno,State Senate,14,DEM,Kings,1104,0,0,0
Abigail Solis,State Senate,14,DEM,Kings,1104,0,8,8
Melissa Hurtado,State Senate,14,DEM,Kings,1104,0,9,9
Justin Mendes,State Assembly,32,REP,Kings,1104,0,16,16
Rudy Salas,State Assembly,32,DEM,Kings,1104,0,16,16
,Registered Voters,,,Kings,1105,,,148
,Ballots Cast,,,Kings,1105,0,40,40
Josh Jones,Governor,,GRN,Kings,1105,0,0,0
J Bribiesca,Governor,,DEM,Kings,1105,0,0,0
Gloria Estela La Riva,Governor,,PF,Kings,1105,0,0,0
Peter Y Liu,Governor,,REP,Kings,1105,0,0,0
Antonio Villaraigosa,Governor,,DEM,Kings,1105,0,4,4
Yvonne Girard,Governor,,REP,Kings,1105,0,2,2
Robert Davidson Griffis,Governor,,DEM,Kings,1105,0,0,0
Shubham Goel,Governor,,NON,Kings,1105,0,0,0
Travis Allen,Governor,,REP,Kings,1105,0,10,10
Akinyemi Agbede,Governor,,DEM,Kings,1105,0,0,0
Johnny Wattenburg,Governor,,NON,Kings,1105,0,0,0
Nickolas Wildstar,Governor,,LIB,Kings,1105,0,1,1
Desmond Silveira,Governor,,NON,Kings,1105,0,0,0
Michael Shellenberger,Governor,,DEM,Kings,1105,0,0,0
Zoltan Istvan,Governor,,LIB,Kings,1105,0,1,1
Christopher N Carlson,Governor,,GRN,Kings,1105,0,0,0
Thomas Jefferson Cares,Governor,,DEM,Kings,1105,0,0,0
John Chiang,Governor,,DEM,Kings,1105,0,1,1
John H Cox,Governor,,REP,Kings,1105,0,19,19
Amanda Renteria,Governor,,DEM,Kings,1105,0,1,1
Delaine Eastin,Governor,,DEM,Kings,1105,0,0,0
Jeffrey Edward Taylor,Governor,,NON,Kings,1105,0,0,0
Klement Tinaj,Governor,,DEM,Kings,1105,0,0,0
"Hakan ""Hawk"" Mikado",Governor,,NON,Kings,1105,0,0,0
Albert Caesar Mezzetti,Governor,,DEM,Kings,1105,0,0,0
Gavin Newsom,Governor,,DEM,Kings,1105,0,1,1
"Robert C. Newman, II",Governor,,REP,Kings,1105,0,0,0
Jeff Bleich,Lieutenant Governor,,DEM,Kings,1105,0,2,2
Eleni Kounalakis,Lieutenant Governor,,DEM,Kings,1105,0,1,1
Cameron Gharabiklou,Lieutenant Governor,,DEM,Kings,1105,0,0,0
Tim Ferreira,Lieutenant Governor,,LIB,Kings,1105,0,2,2
David Fennell,Lieutenant Governor,,REP,Kings,1105,0,6,6
Danny Thomas,Lieutenant Governor,,NON,Kings,1105,0,0,0
Cole Harris,Lieutenant Governor,,REP,Kings,1105,0,13,13
Ed Hernandez,Lieutenant Governor,,DEM,Kings,1105,0,4,4
David R Hernandez,Lieutenant Governor,,REP,Kings,1105,0,2,2
Lydia Ortega,Lieutenant Governor,,REP,Kings,1105,0,8,8
Gayle McLaughlin,Lieutenant Governor,,NON,Kings,1105,0,0,0
Alex Padilla,Secretary of State,,DEM,Kings,1105,0,6,6
Gail K Lightfoot,Secretary of State,,LIB,Kings,1105,0,1,1
C T Weber,Secretary of State,,PF,Kings,1105,0,0,0
Erik Rydberg,Secretary of State,,GRN,Kings,1105,0,0,0
Raul Rodriguez Jr,Secretary of State,,REP,Kings,1105,0,1,1
Michael Feinstein,Secretary of State,,GRN,Kings,1105,0,0,0
Ruben Major,Secretary of State,,DEM,Kings,1105,0,1,1
Mark P Meuser,Secretary of State,,REP,Kings,1105,0,31,31
Konstantinos Roditis,Controller,,REP,Kings,1105,0,31,31
Mary Lou Finley,Controller,,PF,Kings,1105,0,0,0
Betty T Yee,Controller,,DEM,Kings,1105,0,9,9
Vivek Viswanathan,Treasurer,,DEM,Kings,1105,0,1,1
Jack M Guerrero,Treasurer,,REP,Kings,1105,0,10,10
Kevin Akin,Treasurer,,PF,Kings,1105,0,1,1
Greg Conlon,Treasurer,,REP,Kings,1105,0,23,23
Fiona Ma,Treasurer,,DEM,Kings,1105,0,5,5
Dave Jones,Attorney General,,DEM,Kings,1105,0,4,4
Steven C Bailey,Attorney General,,REP,Kings,1105,0,22,22
Xavier Becerra,Attorney General,,DEM,Kings,1105,0,4,4
Eric Early,Attorney General,,REP,Kings,1105,0,10,10
Steve Poizner,Insurance Commissioner,,NON,Kings,1105,0,24,24
Ricardo Lara,Insurance Commissioner,,DEM,Kings,1105,0,7,7
Nathalie Hrizi,Insurance Commissioner,,PF,Kings,1105,0,4,4
Asif Mahmood,Insurance Commissioner,,DEM,Kings,1105,0,1,1
Gerald Plummer,U.S. Senate,,DEM,Kings,1105,0,1,1
Tom Palzer,U.S. Senate,,REP,Kings,1105,0,1,1
John Thompson Parker,U.S. Senate,,PF,Kings,1105,0,0,0
Douglas Howard Pierce,U.S. Senate,,DEM,Kings,1105,0,0,0
Herbert G Peters,U.S. Senate,,DEM,Kings,1105,0,0,0
James P Bradley,U.S. Senate,,REP,Kings,1105,0,14,14
Arun K Bhumitra,U.S. Senate,,REP,Kings,1105,0,0,0
Jerry Joseph Laws,U.S. Senate,,REP,Kings,1105,0,0,0
Patrick Little,U.S. Senate,,REP,Kings,1105,0,0,0
Tim Gildersleeve,U.S. Senate,,NON,Kings,1105,0,0,0
Michael Fahmy Girgis,U.S. Senate,,NON,Kings,1105,0,0,0
Don J Grundmann,U.S. Senate,,NON,Kings,1105,0,2,2
Rash Bihari Ghosh,U.S. Senate,,NON,Kings,1105,0,0,0
Ling Ling Shi,U.S. Senate,,NON,Kings,1105,0,0,0
"John ""Jack"" Crew",U.S. Senate,,REP,Kings,1105,0,5,5
Erin Cruz,U.S. Senate,,REP,Kings,1105,0,6,6
Derrick Michael Reid,U.S. Senate,,LIB,Kings,1105,0,0,0
Dianne Feinstein,U.S. Senate,,DEM,Kings,1105,0,4,4
Colleen Shea Fernald,U.S. Senate,,NON,Kings,1105,0,0,0
Adrienne Nicole Edward,U.S. Senate,,DEM,Kings,1105,0,0,0
Paul A Taylor,U.S. Senate,,REP,Kings,1105,0,2,2
Donnie O Turner,U.S. Senate,,DEM,Kings,1105,0,0,0
Pat Harris,U.S. Senate,,DEM,Kings,1105,0,0,0
Alison Hartson,U.S. Senate,,DEM,Kings,1105,0,0,0
Jason M Hanania,U.S. Senate,,NON,Kings,1105,0,0,0
David Hildebrand,U.S. Senate,,DEM,Kings,1105,0,0,0
Lee Olson,U.S. Senate,,NON,Kings,1105,0,0,0
"Roque ""Rocky"" De La Fuente",U.S. Senate,,REP,Kings,1105,0,0,0
Kevin De Leon,U.S. Senate,,DEM,Kings,1105,0,1,1
Kevin Mottus,U.S. Senate,,REP,Kings,1105,0,0,0
David Moore,U.S. Senate,,NON,Kings,1105,0,0,0
Mario Nabliba,U.S. Senate,,REP,Kings,1105,0,1,1
Andy Vidak,State Senate,14,REP,Kings,1105,0,32,32
Ruben Macareno,State Senate,14,DEM,Kings,1105,0,1,1
Abigail Solis,State Senate,14,DEM,Kings,1105,0,0,0
Melissa Hurtado,State Senate,14,DEM,Kings,1105,0,6,6
Justin Mendes,State Assembly,32,REP,Kings,1105,0,31,31
Rudy Salas,State Assembly,32,DEM,Kings,1105,0,8,8
,Registered Voters,,,Kings,1201,,,8
,Ballots Cast,,,Kings,1201,0,1,1
Josh Jones,Governor,,GRN,Kings,1201,0,0,0
J Bribiesca,Governor,,DEM,Kings,1201,0,0,0
Gloria Estela La Riva,Governor,,PF,Kings,1201,0,0,0
Peter Y Liu,Governor,,REP,Kings,1201,0,0,0
Antonio Villaraigosa,Governor,,DEM,Kings,1201,0,0,0
Yvonne Girard,Governor,,REP,Kings,1201,0,0,0
Robert Davidson Griffis,Governor,,DEM,Kings,1201,0,0,0
Shubham Goel,Governor,,NON,Kings,1201,0,0,0
Travis Allen,Governor,,REP,Kings,1201,0,0,0
Akinyemi Agbede,Governor,,DEM,Kings,1201,0,0,0
Johnny Wattenburg,Governor,,NON,Kings,1201,0,0,0
Nickolas Wildstar,Governor,,LIB,Kings,1201,0,0,0
Desmond Silveira,Governor,,NON,Kings,1201,0,0,0
Michael Shellenberger,Governor,,DEM,Kings,1201,0,0,0
Zoltan Istvan,Governor,,LIB,Kings,1201,0,0,0
Christopher N Carlson,Governor,,GRN,Kings,1201,0,0,0
Thomas Jefferson Cares,Governor,,DEM,Kings,1201,0,0,0
John Chiang,Governor,,DEM,Kings,1201,0,0,0
John H Cox,Governor,,REP,Kings,1201,0,1,1
Amanda Renteria,Governor,,DEM,Kings,1201,0,0,0
Delaine Eastin,Governor,,DEM,Kings,1201,0,0,0
Jeffrey Edward Taylor,Governor,,NON,Kings,1201,0,0,0
Klement Tinaj,Governor,,DEM,Kings,1201,0,0,0
"Hakan ""Hawk"" Mikado",Governor,,NON,Kings,1201,0,0,0
Albert Caesar Mezzetti,Governor,,DEM,Kings,1201,0,0,0
Gavin Newsom,Governor,,DEM,Kings,1201,0,0,0
"Robert C. Newman, II",Governor,,REP,Kings,1201,0,0,0
