precinct,office,district,party,candidate,votes,election_day,mail,county
1124,Lieutenant Governor,,Dem,Eleni Kounalakis,765,84,681,Sonoma
1125,Lieutenant Governor,,Dem,Eleni Kounalakis,67,0,67,Sonoma
1126,Lieutenant Governor,,Dem,Eleni Kounalakis,9,0,9,Sonoma
1127,Lieutenant Governor,,Dem,Eleni Kounalakis,187,18,169,Sonoma
1128,Lieutenant Governor,,Dem,Eleni Kounalakis,568,101,467,Sonoma
1129,Lieutenant Governor,,Dem,Eleni Kounalakis,3,0,3,Sonoma
1130,Lieutenant Governor,,Dem,Eleni Kounalakis,66,0,66,Sonoma
1133,Lieutenant Governor,,Dem,Eleni Kounalakis,56,0,56,Sonoma
1134,Lieutenant Governor,,Dem,Eleni Kounalakis,52,0,52,Sonoma
1136,Lieutenant Governor,,Dem,Eleni Kounalakis,481,74,407,Sonoma
1144,Lieutenant Governor,,Dem,Eleni Kounalakis,4,0,4,Sonoma
1146,Lieutenant Governor,,Dem,Eleni Kounalakis,61,0,61,Sonoma
1147,Lieutenant Governor,,Dem,Eleni Kounalakis,14,0,14,Sonoma
1802,Lieutenant Governor,,Dem,Eleni Kounalakis,809,150,659,Sonoma
1811,Lieutenant Governor,,Dem,Eleni Kounalakis,62,0,62,Sonoma
1812,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
1814,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
2016,Lieutenant Governor,,Dem,Eleni Kounalakis,93,0,93,Sonoma
2020,Lieutenant Governor,,Dem,Eleni Kounalakis,102,0,102,Sonoma
2022,Lieutenant Governor,,Dem,Eleni Kounalakis,42,0,42,Sonoma
2026,Lieutenant Governor,,Dem,Eleni Kounalakis,4,0,4,Sonoma
2027,Lieutenant Governor,,Dem,Eleni Kounalakis,2,0,2,Sonoma
2028,Lieutenant Governor,,Dem,Eleni Kounalakis,1,0,1,Sonoma
2029,Lieutenant Governor,,Dem,Eleni Kounalakis,2,0,2,Sonoma
2032,Lieutenant Governor,,Dem,Eleni Kounalakis,6,0,6,Sonoma
2034,Lieutenant Governor,,Dem,Eleni Kounalakis,3,0,3,Sonoma
2036,Lieutenant Governor,,Dem,Eleni Kounalakis,6,0,6,Sonoma
2037,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
2038,Lieutenant Governor,,Dem,Eleni Kounalakis,8,0,8,Sonoma
2039,Lieutenant Governor,,Dem,Eleni Kounalakis,9,0,9,Sonoma
2041,Lieutenant Governor,,Dem,Eleni Kounalakis,6,0,6,Sonoma
2042,Lieutenant Governor,,Dem,Eleni Kounalakis,14,0,14,Sonoma
2301,Lieutenant Governor,,Dem,Eleni Kounalakis,877,225,652,Sonoma
2502,Lieutenant Governor,,Dem,Eleni Kounalakis,1001,216,785,Sonoma
2503,Lieutenant Governor,,Dem,Eleni Kounalakis,487,121,366,Sonoma
2504,Lieutenant Governor,,Dem,Eleni Kounalakis,1026,307,719,Sonoma
2508,Lieutenant Governor,,Dem,Eleni Kounalakis,704,138,566,Sonoma
2509,Lieutenant Governor,,Dem,Eleni Kounalakis,797,141,656,Sonoma
2514,Lieutenant Governor,,Dem,Eleni Kounalakis,1017,191,826,Sonoma
2515,Lieutenant Governor,,Dem,Eleni Kounalakis,363,88,275,Sonoma
2519,Lieutenant Governor,,Dem,Eleni Kounalakis,959,210,749,Sonoma
2523,Lieutenant Governor,,Dem,Eleni Kounalakis,830,166,664,Sonoma
2530,Lieutenant Governor,,Dem,Eleni Kounalakis,805,155,650,Sonoma
2531,Lieutenant Governor,,Dem,Eleni Kounalakis,666,131,535,Sonoma
2536,Lieutenant Governor,,Dem,Eleni Kounalakis,373,84,289,Sonoma
2540,Lieutenant Governor,,Dem,Eleni Kounalakis,1149,268,881,Sonoma
2601,Lieutenant Governor,,Dem,Eleni Kounalakis,850,209,641,Sonoma
2602,Lieutenant Governor,,Dem,Eleni Kounalakis,493,124,369,Sonoma
2604,Lieutenant Governor,,Dem,Eleni Kounalakis,6,0,6,Sonoma
2606,Lieutenant Governor,,Dem,Eleni Kounalakis,763,164,599,Sonoma
3001,Lieutenant Governor,,Dem,Eleni Kounalakis,1,0,1,Sonoma
3002,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
3005,Lieutenant Governor,,Dem,Eleni Kounalakis,105,16,89,Sonoma
3006,Lieutenant Governor,,Dem,Eleni Kounalakis,10,0,10,Sonoma
3011,Lieutenant Governor,,Dem,Eleni Kounalakis,278,63,215,Sonoma
3017,Lieutenant Governor,,Dem,Eleni Kounalakis,24,0,24,Sonoma
3021,Lieutenant Governor,,Dem,Eleni Kounalakis,28,0,28,Sonoma
3024,Lieutenant Governor,,Dem,Eleni Kounalakis,12,0,12,Sonoma
3102,Lieutenant Governor,,Dem,Eleni Kounalakis,38,0,38,Sonoma
3104,Lieutenant Governor,,Dem,Eleni Kounalakis,14,0,14,Sonoma
3105,Lieutenant Governor,,Dem,Eleni Kounalakis,211,37,174,Sonoma
3110,Lieutenant Governor,,Dem,Eleni Kounalakis,430,65,365,Sonoma
3111,Lieutenant Governor,,Dem,Eleni Kounalakis,14,0,14,Sonoma
3114,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
3117,Lieutenant Governor,,Dem,Eleni Kounalakis,343,60,283,Sonoma
3118,Lieutenant Governor,,Dem,Eleni Kounalakis,8,0,8,Sonoma
3121,Lieutenant Governor,,Dem,Eleni Kounalakis,51,0,51,Sonoma
3123,Lieutenant Governor,,Dem,Eleni Kounalakis,244,61,183,Sonoma
3124,Lieutenant Governor,,Dem,Eleni Kounalakis,527,160,367,Sonoma
3125,Lieutenant Governor,,Dem,Eleni Kounalakis,119,0,119,Sonoma
3126,Lieutenant Governor,,Dem,Eleni Kounalakis,646,137,509,Sonoma
3128,Lieutenant Governor,,Dem,Eleni Kounalakis,1026,215,811,Sonoma
3130,Lieutenant Governor,,Dem,Eleni Kounalakis,12,0,12,Sonoma
3133,Lieutenant Governor,,Dem,Eleni Kounalakis,65,0,65,Sonoma
3137,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
3138,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
3142,Lieutenant Governor,,Dem,Eleni Kounalakis,711,162,549,Sonoma
3601,Lieutenant Governor,,Dem,Eleni Kounalakis,725,171,554,Sonoma
3602,Lieutenant Governor,,Dem,Eleni Kounalakis,868,207,661,Sonoma
3603,Lieutenant Governor,,Dem,Eleni Kounalakis,807,226,581,Sonoma
3605,Lieutenant Governor,,Dem,Eleni Kounalakis,365,98,267,Sonoma
3609,Lieutenant Governor,,Dem,Eleni Kounalakis,870,195,675,Sonoma
3611,Lieutenant Governor,,Dem,Eleni Kounalakis,688,147,541,Sonoma
3614,Lieutenant Governor,,Dem,Eleni Kounalakis,764,156,608,Sonoma
3616,Lieutenant Governor,,Dem,Eleni Kounalakis,715,153,562,Sonoma
3618,Lieutenant Governor,,Dem,Eleni Kounalakis,753,158,595,Sonoma
3621,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
3622,Lieutenant Governor,,Dem,Eleni Kounalakis,128,0,128,Sonoma
4005,Lieutenant Governor,,Dem,Eleni Kounalakis,43,0,43,Sonoma
4009,Lieutenant Governor,,Dem,Eleni Kounalakis,87,0,87,Sonoma
4012,Lieutenant Governor,,Dem,Eleni Kounalakis,8,0,8,Sonoma
4013,Lieutenant Governor,,Dem,Eleni Kounalakis,41,0,41,Sonoma
4015,Lieutenant Governor,,Dem,Eleni Kounalakis,86,15,71,Sonoma
4017,Lieutenant Governor,,Dem,Eleni Kounalakis,33,0,33,Sonoma
4018,Lieutenant Governor,,Dem,Eleni Kounalakis,1,0,1,Sonoma
4019,Lieutenant Governor,,Dem,Eleni Kounalakis,2,0,2,Sonoma
4021,Lieutenant Governor,,Dem,Eleni Kounalakis,72,0,72,Sonoma
4027,Lieutenant Governor,,Dem,Eleni Kounalakis,64,0,64,Sonoma
4030,Lieutenant Governor,,Dem,Eleni Kounalakis,2,0,2,Sonoma
4037,Lieutenant Governor,,Dem,Eleni Kounalakis,27,0,27,Sonoma
4039,Lieutenant Governor,,Dem,Eleni Kounalakis,13,0,13,Sonoma
4051,Lieutenant Governor,,Dem,Eleni Kounalakis,85,0,85,Sonoma
4052,Lieutenant Governor,,Dem,Eleni Kounalakis,1,0,1,Sonoma
4054,Lieutenant Governor,,Dem,Eleni Kounalakis,1,0,1,Sonoma
4064,Lieutenant Governor,,Dem,Eleni Kounalakis,21,0,21,Sonoma
4065,Lieutenant Governor,,Dem,Eleni Kounalakis,1,0,1,Sonoma
4066,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
4067,Lieutenant Governor,,Dem,Eleni Kounalakis,18,0,18,Sonoma
4070,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
4072,Lieutenant Governor,,Dem,Eleni Kounalakis,2,0,2,Sonoma
4073,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
4074,Lieutenant Governor,,Dem,Eleni Kounalakis,72,0,72,Sonoma
4101,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
4102,Lieutenant Governor,,Dem,Eleni Kounalakis,23,0,23,Sonoma
4103,Lieutenant Governor,,Dem,Eleni Kounalakis,517,106,411,Sonoma
4104,Lieutenant Governor,,Dem,Eleni Kounalakis,91,0,91,Sonoma
4106,Lieutenant Governor,,Dem,Eleni Kounalakis,37,0,37,Sonoma
4110,Lieutenant Governor,,Dem,Eleni Kounalakis,767,140,627,Sonoma
4113,Lieutenant Governor,,Dem,Eleni Kounalakis,30,0,30,Sonoma
4127,Lieutenant Governor,,Dem,Eleni Kounalakis,500,95,405,Sonoma
4128,Lieutenant Governor,,Dem,Eleni Kounalakis,30,0,30,Sonoma
4129,Lieutenant Governor,,Dem,Eleni Kounalakis,30,0,30,Sonoma
4201,Lieutenant Governor,,Dem,Eleni Kounalakis,699,170,529,Sonoma
4203,Lieutenant Governor,,Dem,Eleni Kounalakis,425,115,310,Sonoma
4204,Lieutenant Governor,,Dem,Eleni Kounalakis,757,147,610,Sonoma
4401,Lieutenant Governor,,Dem,Eleni Kounalakis,674,155,519,Sonoma
4402,Lieutenant Governor,,Dem,Eleni Kounalakis,922,194,728,Sonoma
4406,Lieutenant Governor,,Dem,Eleni Kounalakis,593,124,469,Sonoma
4407,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
4902,Lieutenant Governor,,Dem,Eleni Kounalakis,660,150,510,Sonoma
4903,Lieutenant Governor,,Dem,Eleni Kounalakis,606,100,506,Sonoma
4904,Lieutenant Governor,,Dem,Eleni Kounalakis,700,126,574,Sonoma
4905,Lieutenant Governor,,Dem,Eleni Kounalakis,71,0,71,Sonoma
4906,Lieutenant Governor,,Dem,Eleni Kounalakis,830,133,697,Sonoma
4907,Lieutenant Governor,,Dem,Eleni Kounalakis,807,156,651,Sonoma
4908,Lieutenant Governor,,Dem,Eleni Kounalakis,858,172,686,Sonoma
5002,Lieutenant Governor,,Dem,Eleni Kounalakis,91,0,91,Sonoma
5005,Lieutenant Governor,,Dem,Eleni Kounalakis,81,0,81,Sonoma
5007,Lieutenant Governor,,Dem,Eleni Kounalakis,24,0,24,Sonoma
5009,Lieutenant Governor,,Dem,Eleni Kounalakis,11,0,11,Sonoma
5012,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
5013,Lieutenant Governor,,Dem,Eleni Kounalakis,7,0,7,Sonoma
5015,Lieutenant Governor,,Dem,Eleni Kounalakis,37,0,37,Sonoma
5017,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
5019,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
5024,Lieutenant Governor,,Dem,Eleni Kounalakis,4,0,4,Sonoma
5025,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
5029,Lieutenant Governor,,Dem,Eleni Kounalakis,32,0,32,Sonoma
5031,Lieutenant Governor,,Dem,Eleni Kounalakis,286,70,216,Sonoma
5033,Lieutenant Governor,,Dem,Eleni Kounalakis,21,0,21,Sonoma
5037,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
5038,Lieutenant Governor,,Dem,Eleni Kounalakis,2,0,2,Sonoma
5039,Lieutenant Governor,,Dem,Eleni Kounalakis,3,0,3,Sonoma
5040,Lieutenant Governor,,Dem,Eleni Kounalakis,5,0,5,Sonoma
5043,Lieutenant Governor,,Dem,Eleni Kounalakis,34,0,34,Sonoma
5046,Lieutenant Governor,,Dem,Eleni Kounalakis,73,0,73,Sonoma
5048,Lieutenant Governor,,Dem,Eleni Kounalakis,58,0,58,Sonoma
5050,Lieutenant Governor,,Dem,Eleni Kounalakis,1,0,1,Sonoma
5052,Lieutenant Governor,,Dem,Eleni Kounalakis,81,0,81,Sonoma
5054,Lieutenant Governor,,Dem,Eleni Kounalakis,1,0,1,Sonoma
5056,Lieutenant Governor,,Dem,Eleni Kounalakis,89,0,89,Sonoma
5057,Lieutenant Governor,,Dem,Eleni Kounalakis,46,0,46,Sonoma
5058,Lieutenant Governor,,Dem,Eleni Kounalakis,36,0,36,Sonoma
5059,Lieutenant Governor,,Dem,Eleni Kounalakis,7,0,7,Sonoma
5060,Lieutenant Governor,,Dem,Eleni Kounalakis,29,0,29,Sonoma
5062,Lieutenant Governor,,Dem,Eleni Kounalakis,49,0,49,Sonoma
5063,Lieutenant Governor,,Dem,Eleni Kounalakis,113,0,113,Sonoma
5064,Lieutenant Governor,,Dem,Eleni Kounalakis,76,0,76,Sonoma
5065,Lieutenant Governor,,Dem,Eleni Kounalakis,21,0,21,Sonoma
5067,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
5068,Lieutenant Governor,,Dem,Eleni Kounalakis,1,0,1,Sonoma
5069,Lieutenant Governor,,Dem,Eleni Kounalakis,43,0,43,Sonoma
5070,Lieutenant Governor,,Dem,Eleni Kounalakis,18,0,18,Sonoma
5071,Lieutenant Governor,,Dem,Eleni Kounalakis,3,0,3,Sonoma
5074,Lieutenant Governor,,Dem,Eleni Kounalakis,2,0,2,Sonoma
5075,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
5076,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
5077,Lieutenant Governor,,Dem,Eleni Kounalakis,159,27,132,Sonoma
5101,Lieutenant Governor,,Dem,Eleni Kounalakis,334,68,266,Sonoma
5104,Lieutenant Governor,,Dem,Eleni Kounalakis,690,167,523,Sonoma
5107,Lieutenant Governor,,Dem,Eleni Kounalakis,9,0,9,Sonoma
5108,Lieutenant Governor,,Dem,Eleni Kounalakis,33,0,33,Sonoma
5110,Lieutenant Governor,,Dem,Eleni Kounalakis,30,0,30,Sonoma
5114,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
5115,Lieutenant Governor,,Dem,Eleni Kounalakis,305,73,232,Sonoma
5116,Lieutenant Governor,,Dem,Eleni Kounalakis,123,0,123,Sonoma
5117,Lieutenant Governor,,Dem,Eleni Kounalakis,50,0,50,Sonoma
5118,Lieutenant Governor,,Dem,Eleni Kounalakis,43,0,43,Sonoma
5121,Lieutenant Governor,,Dem,Eleni Kounalakis,1,0,1,Sonoma
5122,Lieutenant Governor,,Dem,Eleni Kounalakis,34,0,34,Sonoma
5124,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
5125,Lieutenant Governor,,Dem,Eleni Kounalakis,80,0,80,Sonoma
5126,Lieutenant Governor,,Dem,Eleni Kounalakis,40,0,40,Sonoma
7101,Lieutenant Governor,,Dem,Eleni Kounalakis,93,0,93,Sonoma
7102,Lieutenant Governor,,Dem,Eleni Kounalakis,140,21,119,Sonoma
7103,Lieutenant Governor,,Dem,Eleni Kounalakis,25,0,25,Sonoma
7104,Lieutenant Governor,,Dem,Eleni Kounalakis,292,59,233,Sonoma
7105,Lieutenant Governor,,Dem,Eleni Kounalakis,29,0,29,Sonoma
7106,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7107,Lieutenant Governor,,Dem,Eleni Kounalakis,6,0,6,Sonoma
7108,Lieutenant Governor,,Dem,Eleni Kounalakis,87,0,87,Sonoma
7109,Lieutenant Governor,,Dem,Eleni Kounalakis,107,0,107,Sonoma
7110,Lieutenant Governor,,Dem,Eleni Kounalakis,1,0,1,Sonoma
7111,Lieutenant Governor,,Dem,Eleni Kounalakis,59,0,59,Sonoma
7112,Lieutenant Governor,,Dem,Eleni Kounalakis,334,61,273,Sonoma
7113,Lieutenant Governor,,Dem,Eleni Kounalakis,1,0,1,Sonoma
7114,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7115,Lieutenant Governor,,Dem,Eleni Kounalakis,18,0,18,Sonoma
7116,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7117,Lieutenant Governor,,Dem,Eleni Kounalakis,36,0,36,Sonoma
7118,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7119,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7120,Lieutenant Governor,,Dem,Eleni Kounalakis,526,163,363,Sonoma
7121,Lieutenant Governor,,Dem,Eleni Kounalakis,5,0,5,Sonoma
7122,Lieutenant Governor,,Dem,Eleni Kounalakis,26,0,26,Sonoma
7123,Lieutenant Governor,,Dem,Eleni Kounalakis,164,35,129,Sonoma
7124,Lieutenant Governor,,Dem,Eleni Kounalakis,36,0,36,Sonoma
7125,Lieutenant Governor,,Dem,Eleni Kounalakis,26,0,26,Sonoma
7126,Lieutenant Governor,,Dem,Eleni Kounalakis,15,0,15,Sonoma
7127,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7128,Lieutenant Governor,,Dem,Eleni Kounalakis,36,0,36,Sonoma
7129,Lieutenant Governor,,Dem,Eleni Kounalakis,33,0,33,Sonoma
7130,Lieutenant Governor,,Dem,Eleni Kounalakis,64,0,64,Sonoma
7131,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7132,Lieutenant Governor,,Dem,Eleni Kounalakis,26,0,26,Sonoma
7133,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7134,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7135,Lieutenant Governor,,Dem,Eleni Kounalakis,210,37,173,Sonoma
7136,Lieutenant Governor,,Dem,Eleni Kounalakis,188,29,159,Sonoma
7137,Lieutenant Governor,,Dem,Eleni Kounalakis,1070,259,811,Sonoma
7138,Lieutenant Governor,,Dem,Eleni Kounalakis,660,153,507,Sonoma
7139,Lieutenant Governor,,Dem,Eleni Kounalakis,9,0,9,Sonoma
7140,Lieutenant Governor,,Dem,Eleni Kounalakis,47,0,47,Sonoma
7141,Lieutenant Governor,,Dem,Eleni Kounalakis,801,164,637,Sonoma
7142,Lieutenant Governor,,Dem,Eleni Kounalakis,896,238,658,Sonoma
7143,Lieutenant Governor,,Dem,Eleni Kounalakis,745,100,645,Sonoma
7144,Lieutenant Governor,,Dem,Eleni Kounalakis,113,0,113,Sonoma
7145,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7146,Lieutenant Governor,,Dem,Eleni Kounalakis,5,0,5,Sonoma
7147,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7148,Lieutenant Governor,,Dem,Eleni Kounalakis,457,95,362,Sonoma
7149,Lieutenant Governor,,Dem,Eleni Kounalakis,209,58,151,Sonoma
7150,Lieutenant Governor,,Dem,Eleni Kounalakis,7,0,7,Sonoma
7151,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7152,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7153,Lieutenant Governor,,Dem,Eleni Kounalakis,187,43,144,Sonoma
7154,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7155,Lieutenant Governor,,Dem,Eleni Kounalakis,3,0,3,Sonoma
7156,Lieutenant Governor,,Dem,Eleni Kounalakis,216,36,180,Sonoma
7157,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7158,Lieutenant Governor,,Dem,Eleni Kounalakis,9,0,9,Sonoma
7159,Lieutenant Governor,,Dem,Eleni Kounalakis,34,0,34,Sonoma
7160,Lieutenant Governor,,Dem,Eleni Kounalakis,97,9,88,Sonoma
7161,Lieutenant Governor,,Dem,Eleni Kounalakis,60,0,60,Sonoma
7162,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7163,Lieutenant Governor,,Dem,Eleni Kounalakis,5,0,5,Sonoma
7164,Lieutenant Governor,,Dem,Eleni Kounalakis,3,0,3,Sonoma
7165,Lieutenant Governor,,Dem,Eleni Kounalakis,10,0,10,Sonoma
7166,Lieutenant Governor,,Dem,Eleni Kounalakis,1,0,1,Sonoma
7167,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7168,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7169,Lieutenant Governor,,Dem,Eleni Kounalakis,40,0,40,Sonoma
7170,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7171,Lieutenant Governor,,Dem,Eleni Kounalakis,1042,227,815,Sonoma
7172,Lieutenant Governor,,Dem,Eleni Kounalakis,86,0,86,Sonoma
7173,Lieutenant Governor,,Dem,Eleni Kounalakis,303,76,227,Sonoma
7174,Lieutenant Governor,,Dem,Eleni Kounalakis,488,65,423,Sonoma
7175,Lieutenant Governor,,Dem,Eleni Kounalakis,764,190,574,Sonoma
7176,Lieutenant Governor,,Dem,Eleni Kounalakis,539,122,417,Sonoma
7177,Lieutenant Governor,,Dem,Eleni Kounalakis,107,0,107,Sonoma
7178,Lieutenant Governor,,Dem,Eleni Kounalakis,795,143,652,Sonoma
7179,Lieutenant Governor,,Dem,Eleni Kounalakis,884,200,684,Sonoma
7180,Lieutenant Governor,,Dem,Eleni Kounalakis,111,0,111,Sonoma
7181,Lieutenant Governor,,Dem,Eleni Kounalakis,15,0,15,Sonoma
7182,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7183,Lieutenant Governor,,Dem,Eleni Kounalakis,1080,93,987,Sonoma
7184,Lieutenant Governor,,Dem,Eleni Kounalakis,673,139,534,Sonoma
7185,Lieutenant Governor,,Dem,Eleni Kounalakis,721,132,589,Sonoma
7186,Lieutenant Governor,,Dem,Eleni Kounalakis,990,170,820,Sonoma
7187,Lieutenant Governor,,Dem,Eleni Kounalakis,837,135,702,Sonoma
7188,Lieutenant Governor,,Dem,Eleni Kounalakis,519,82,437,Sonoma
7189,Lieutenant Governor,,Dem,Eleni Kounalakis,48,0,48,Sonoma
7190,Lieutenant Governor,,Dem,Eleni Kounalakis,5,0,5,Sonoma
7191,Lieutenant Governor,,Dem,Eleni Kounalakis,17,0,17,Sonoma
7192,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7201,Lieutenant Governor,,Dem,Eleni Kounalakis,75,0,75,Sonoma
7202,Lieutenant Governor,,Dem,Eleni Kounalakis,2,0,2,Sonoma
7203,Lieutenant Governor,,Dem,Eleni Kounalakis,974,219,755,Sonoma
7204,Lieutenant Governor,,Dem,Eleni Kounalakis,36,0,36,Sonoma
7205,Lieutenant Governor,,Dem,Eleni Kounalakis,25,0,25,Sonoma
7206,Lieutenant Governor,,Dem,Eleni Kounalakis,71,0,71,Sonoma
7207,Lieutenant Governor,,Dem,Eleni Kounalakis,927,210,717,Sonoma
7208,Lieutenant Governor,,Dem,Eleni Kounalakis,1170,285,885,Sonoma
7209,Lieutenant Governor,,Dem,Eleni Kounalakis,21,0,21,Sonoma
7210,Lieutenant Governor,,Dem,Eleni Kounalakis,117,31,86,Sonoma
7211,Lieutenant Governor,,Dem,Eleni Kounalakis,45,0,45,Sonoma
7212,Lieutenant Governor,,Dem,Eleni Kounalakis,14,0,14,Sonoma
7213,Lieutenant Governor,,Dem,Eleni Kounalakis,512,105,407,Sonoma
7214,Lieutenant Governor,,Dem,Eleni Kounalakis,89,0,89,Sonoma
7215,Lieutenant Governor,,Dem,Eleni Kounalakis,574,123,451,Sonoma
7216,Lieutenant Governor,,Dem,Eleni Kounalakis,398,86,312,Sonoma
7217,Lieutenant Governor,,Dem,Eleni Kounalakis,5,0,5,Sonoma
7218,Lieutenant Governor,,Dem,Eleni Kounalakis,92,0,92,Sonoma
7219,Lieutenant Governor,,Dem,Eleni Kounalakis,20,0,20,Sonoma
7220,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7221,Lieutenant Governor,,Dem,Eleni Kounalakis,4,0,4,Sonoma
7222,Lieutenant Governor,,Dem,Eleni Kounalakis,5,0,5,Sonoma
7223,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7224,Lieutenant Governor,,Dem,Eleni Kounalakis,4,0,4,Sonoma
7225,Lieutenant Governor,,Dem,Eleni Kounalakis,355,81,274,Sonoma
7226,Lieutenant Governor,,Dem,Eleni Kounalakis,337,68,269,Sonoma
7227,Lieutenant Governor,,Dem,Eleni Kounalakis,1,0,1,Sonoma
7228,Lieutenant Governor,,Dem,Eleni Kounalakis,368,61,307,Sonoma
7229,Lieutenant Governor,,Dem,Eleni Kounalakis,716,159,557,Sonoma
7230,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7231,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7232,Lieutenant Governor,,Dem,Eleni Kounalakis,8,0,8,Sonoma
7233,Lieutenant Governor,,Dem,Eleni Kounalakis,67,0,67,Sonoma
7234,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7235,Lieutenant Governor,,Dem,Eleni Kounalakis,91,0,91,Sonoma
7236,Lieutenant Governor,,Dem,Eleni Kounalakis,252,48,204,Sonoma
7237,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7238,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7239,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7240,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
7241,Lieutenant Governor,,Dem,Eleni Kounalakis,20,0,20,Sonoma
7242,Lieutenant Governor,,Dem,Eleni Kounalakis,102,0,102,Sonoma
7243,Lieutenant Governor,,Dem,Eleni Kounalakis,19,0,19,Sonoma
7244,Lieutenant Governor,,Dem,Eleni Kounalakis,5,0,5,Sonoma
7245,Lieutenant Governor,,Dem,Eleni Kounalakis,36,0,36,Sonoma
7246,Lieutenant Governor,,Dem,Eleni Kounalakis,15,0,15,Sonoma
7247,Lieutenant Governor,,Dem,Eleni Kounalakis,18,0,18,Sonoma
7248,Lieutenant Governor,,Dem,Eleni Kounalakis,453,99,354,Sonoma
7249,Lieutenant Governor,,Dem,Eleni Kounalakis,606,131,475,Sonoma
7250,Lieutenant Governor,,Dem,Eleni Kounalakis,1086,240,846,Sonoma
7251,Lieutenant Governor,,Dem,Eleni Kounalakis,1137,280,857,Sonoma
7252,Lieutenant Governor,,Dem,Eleni Kounalakis,865,189,676,Sonoma
7253,Lieutenant Governor,,Dem,Eleni Kounalakis,296,52,244,Sonoma
7254,Lieutenant Governor,,Dem,Eleni Kounalakis,610,155,455,Sonoma
7301,Lieutenant Governor,,Dem,Eleni Kounalakis,0,0,0,Sonoma
