county,precinct,office,district,party,candidate,votes,mail,provisional
Lassen,Lassen 213,State Assembly,01,,Undervotes,5,5,0
Lassen,Lassen 214,Registered Voters,,,,253,,
Lassen,Lassen 214,Ballots Cast,,,,188,186,2
Lassen,Lassen 214,President,,DEM,JOSEPH R. BIDEN,56,56,0
Lassen,Lassen 214,President,,REP,DONALD J. TRUMP,126,124,2
Lassen,Lassen 214,President,,PFP,GLORIA LA RIVA,1,1,0
Lassen,Lassen 214,President,,AIP,ROCKY DE LA FUENTE GUERRA,0,0,0
Lassen,Lassen 214,President,,GRN,HOWIE HAWKINS,1,1,0
Lassen,Lassen 214,President,,LIB,JO JORGENSEN,2,2,0
Lassen,Lassen 214,President,,WRI,Write-In: UNCERTIFIED WRITE IN,2,2,0
Lassen,Lassen 214,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 214,President,,,Overvotes,0,0,0
Lassen,Lassen 214,President,,,Undervotes,0,0,0
Lassen,Lassen 214,U.S. House,1,REP,DOUG LAMALFA,129,127,2
Lassen,Lassen 214,U.S. House,1,DEM,AUDREY DENNEY,57,57,0
Lassen,Lassen 214,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 214,U.S. House,1,,Undervotes,2,2,0
Lassen,Lassen 214,State Senate,01,REP,BRIAN DAHLE,132,130,2
Lassen,Lassen 214,State Senate,01,DEM,PAMELA DAWN SWARTZ,46,46,0
Lassen,Lassen 214,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 214,State Senate,01,,Undervotes,10,10,0
Lassen,Lassen 214,State Assembly,01,REP,MEGAN DAHLE,134,132,2
Lassen,Lassen 214,State Assembly,01,DEM,ELIZABETH L BETANCOURT,49,49,0
Lassen,Lassen 214,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 214,State Assembly,01,,Undervotes,5,5,0
Lassen,Lassen 215,Registered Voters,,,,322,,
Lassen,Lassen 215,Ballots Cast,,,,235,230,5
Lassen,Lassen 215,President,,DEM,JOSEPH R. BIDEN,67,65,2
Lassen,Lassen 215,President,,REP,DONALD J. TRUMP,163,160,3
Lassen,Lassen 215,President,,PFP,GLORIA LA RIVA,1,1,0
Lassen,Lassen 215,President,,AIP,ROCKY DE LA FUENTE GUERRA,0,0,0
Lassen,Lassen 215,President,,GRN,HOWIE HAWKINS,0,0,0
Lassen,Lassen 215,President,,LIB,JO JORGENSEN,2,2,0
Lassen,Lassen 215,President,,WRI,Write-In: UNCERTIFIED WRITE IN,1,1,0
Lassen,Lassen 215,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 215,President,,,Overvotes,0,0,0
Lassen,Lassen 215,President,,,Undervotes,1,1,0
Lassen,Lassen 215,U.S. House,1,REP,DOUG LAMALFA,151,148,3
Lassen,Lassen 215,U.S. House,1,DEM,AUDREY DENNEY,77,75,2
Lassen,Lassen 215,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 215,U.S. House,1,,Undervotes,7,7,0
Lassen,Lassen 215,State Senate,01,REP,BRIAN DAHLE,159,156,3
Lassen,Lassen 215,State Senate,01,DEM,PAMELA DAWN SWARTZ,66,64,2
Lassen,Lassen 215,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 215,State Senate,01,,Undervotes,10,10,0
Lassen,Lassen 215,State Assembly,01,REP,MEGAN DAHLE,160,157,3
Lassen,Lassen 215,State Assembly,01,DEM,ELIZABETH L BETANCOURT,64,62,2
Lassen,Lassen 215,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 215,State Assembly,01,,Undervotes,11,11,0
Lassen,Lassen 216,Registered Voters,,,,165,,
Lassen,Lassen 216,Ballots Cast,,,,105,99,6
Lassen,Lassen 216,President,,DEM,JOSEPH R. BIDEN,45,44,1
Lassen,Lassen 216,President,,REP,DONALD J. TRUMP,54,50,4
Lassen,Lassen 216,President,,PFP,GLORIA LA RIVA,1,0,1
Lassen,Lassen 216,President,,AIP,ROCKY DE LA FUENTE GUERRA,1,1,0
Lassen,Lassen 216,President,,GRN,HOWIE HAWKINS,1,1,0
Lassen,Lassen 216,President,,LIB,JO JORGENSEN,2,2,0
Lassen,Lassen 216,President,,WRI,Write-In: UNCERTIFIED WRITE IN,0,0,0
Lassen,Lassen 216,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 216,President,,,Overvotes,0,0,0
Lassen,Lassen 216,President,,,Undervotes,1,1,0
Lassen,Lassen 216,U.S. House,1,REP,DOUG LAMALFA,48,46,2
Lassen,Lassen 216,U.S. House,1,DEM,AUDREY DENNEY,53,52,1
Lassen,Lassen 216,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 216,U.S. House,1,,Undervotes,4,1,3
Lassen,Lassen 216,State Senate,01,REP,BRIAN DAHLE,49,47,2
Lassen,Lassen 216,State Senate,01,DEM,PAMELA DAWN SWARTZ,49,49,0
Lassen,Lassen 216,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 216,State Senate,01,,Undervotes,7,3,4
Lassen,Lassen 216,State Assembly,01,REP,MEGAN DAHLE,51,50,1
Lassen,Lassen 216,State Assembly,01,DEM,ELIZABETH L BETANCOURT,50,48,2
Lassen,Lassen 216,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 216,State Assembly,01,,Undervotes,4,1,3
Lassen,Lassen 218,Registered Voters,,,,97,,
Lassen,Lassen 218,Ballots Cast,,,,68,67,1
Lassen,Lassen 218,President,,DEM,JOSEPH R. BIDEN,18,18,0
Lassen,Lassen 218,President,,REP,DONALD J. TRUMP,45,44,1
Lassen,Lassen 218,President,,PFP,GLORIA LA RIVA,0,0,0
Lassen,Lassen 218,President,,AIP,ROCKY DE LA FUENTE GUERRA,0,0,0
Lassen,Lassen 218,President,,GRN,HOWIE HAWKINS,0,0,0
Lassen,Lassen 218,President,,LIB,JO JORGENSEN,3,3,0
Lassen,Lassen 218,President,,WRI,Write-In: UNCERTIFIED WRITE IN,0,0,0
Lassen,Lassen 218,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 218,President,,,Overvotes,1,1,0
Lassen,Lassen 218,President,,,Undervotes,1,1,0
Lassen,Lassen 218,U.S. House,1,REP,DOUG LAMALFA,47,46,1
Lassen,Lassen 218,U.S. House,1,DEM,AUDREY DENNEY,17,17,0
Lassen,Lassen 218,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 218,U.S. House,1,,Undervotes,4,4,0
Lassen,Lassen 218,State Senate,01,REP,BRIAN DAHLE,56,55,1
Lassen,Lassen 218,State Senate,01,DEM,PAMELA DAWN SWARTZ,9,9,0
Lassen,Lassen 218,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 218,State Senate,01,,Undervotes,3,3,0
Lassen,Lassen 218,State Assembly,01,REP,MEGAN DAHLE,52,51,1
Lassen,Lassen 218,State Assembly,01,DEM,ELIZABETH L BETANCOURT,14,14,0
Lassen,Lassen 218,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 218,State Assembly,01,,Undervotes,2,2,0
Lassen,Lassen 219,Registered Voters,,,,123,,
Lassen,Lassen 219,Ballots Cast,,,,108,107,1
Lassen,Lassen 219,President,,DEM,JOSEPH R. BIDEN,24,23,1
Lassen,Lassen 219,President,,REP,DONALD J. TRUMP,80,80,0
Lassen,Lassen 219,President,,PFP,GLORIA LA RIVA,1,1,0
Lassen,Lassen 219,President,,AIP,ROCKY DE LA FUENTE GUERRA,1,1,0
Lassen,Lassen 219,President,,GRN,HOWIE HAWKINS,1,1,0
Lassen,Lassen 219,President,,LIB,JO JORGENSEN,0,0,0
Lassen,Lassen 219,President,,WRI,Write-In: UNCERTIFIED WRITE IN,0,0,0
Lassen,Lassen 219,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 219,President,,,Overvotes,0,0,0
Lassen,Lassen 219,President,,,Undervotes,1,1,0
Lassen,Lassen 219,U.S. House,1,REP,DOUG LAMALFA,79,79,0
Lassen,Lassen 219,U.S. House,1,DEM,AUDREY DENNEY,28,27,1
Lassen,Lassen 219,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 219,U.S. House,1,,Undervotes,1,1,0
Lassen,Lassen 219,State Senate,01,REP,BRIAN DAHLE,84,84,0
Lassen,Lassen 219,State Senate,01,DEM,PAMELA DAWN SWARTZ,21,21,0
Lassen,Lassen 219,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 219,State Senate,01,,Undervotes,3,2,1
Lassen,Lassen 219,State Assembly,01,REP,MEGAN DAHLE,78,78,0
Lassen,Lassen 219,State Assembly,01,DEM,ELIZABETH L BETANCOURT,25,25,0
Lassen,Lassen 219,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 219,State Assembly,01,,Undervotes,5,4,1
Lassen,Lassen 220,Registered Voters,,,,213,,
Lassen,Lassen 220,Ballots Cast,,,,158,156,2
Lassen,Lassen 220,President,,DEM,JOSEPH R. BIDEN,38,37,1
Lassen,Lassen 220,President,,REP,DONALD J. TRUMP,111,110,1
Lassen,Lassen 220,President,,PFP,GLORIA LA RIVA,0,0,0
Lassen,Lassen 220,President,,AIP,ROCKY DE LA FUENTE GUERRA,2,2,0
Lassen,Lassen 220,President,,GRN,HOWIE HAWKINS,0,0,0
Lassen,Lassen 220,President,,LIB,JO JORGENSEN,3,3,0
Lassen,Lassen 220,President,,WRI,Write-In: UNCERTIFIED WRITE IN,0,0,0
Lassen,Lassen 220,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 220,President,,,Overvotes,0,0,0
Lassen,Lassen 220,President,,,Undervotes,4,4,0
Lassen,Lassen 220,U.S. House,1,REP,DOUG LAMALFA,114,112,2
Lassen,Lassen 220,U.S. House,1,DEM,AUDREY DENNEY,43,43,0
Lassen,Lassen 220,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 220,U.S. House,1,,Undervotes,1,1,0
Lassen,Lassen 220,State Senate,01,REP,BRIAN DAHLE,121,120,1
Lassen,Lassen 220,State Senate,01,DEM,PAMELA DAWN SWARTZ,34,33,1
Lassen,Lassen 220,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 220,State Senate,01,,Undervotes,3,3,0
Lassen,Lassen 220,State Assembly,01,REP,MEGAN DAHLE,119,118,1
Lassen,Lassen 220,State Assembly,01,DEM,ELIZABETH L BETANCOURT,35,34,1
Lassen,Lassen 220,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 220,State Assembly,01,,Undervotes,4,4,0
Lassen,Lassen 221,Registered Voters,,,,102,,
Lassen,Lassen 221,Ballots Cast,,,,71,70,1
Lassen,Lassen 221,President,,DEM,JOSEPH R. BIDEN,18,18,0
Lassen,Lassen 221,President,,REP,DONALD J. TRUMP,52,51,1
Lassen,Lassen 221,President,,PFP,GLORIA LA RIVA,1,1,0
Lassen,Lassen 221,President,,AIP,ROCKY DE LA FUENTE GUERRA,0,0,0
Lassen,Lassen 221,President,,GRN,HOWIE HAWKINS,0,0,0
Lassen,Lassen 221,President,,LIB,JO JORGENSEN,0,0,0
Lassen,Lassen 221,President,,WRI,Write-In: UNCERTIFIED WRITE IN,0,0,0
Lassen,Lassen 221,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 221,President,,,Overvotes,0,0,0
Lassen,Lassen 221,President,,,Undervotes,0,0,0
Lassen,Lassen 221,U.S. House,1,REP,DOUG LAMALFA,49,48,1
Lassen,Lassen 221,U.S. House,1,DEM,AUDREY DENNEY,20,20,0
Lassen,Lassen 221,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 221,U.S. House,1,,Undervotes,2,2,0
Lassen,Lassen 221,State Senate,01,REP,BRIAN DAHLE,53,52,1
Lassen,Lassen 221,State Senate,01,DEM,PAMELA DAWN SWARTZ,17,17,0
Lassen,Lassen 221,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 221,State Senate,01,,Undervotes,1,1,0
Lassen,Lassen 221,State Assembly,01,REP,MEGAN DAHLE,53,52,1
Lassen,Lassen 221,State Assembly,01,DEM,ELIZABETH L BETANCOURT,17,17,0
Lassen,Lassen 221,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 221,State Assembly,01,,Undervotes,1,1,0
Lassen,Lassen 222,Registered Voters,,,,115,,
Lassen,Lassen 222,Ballots Cast,,,,94,90,4
Lassen,Lassen 222,President,,DEM,JOSEPH R. BIDEN,14,14,0
Lassen,Lassen 222,President,,REP,DONALD J. TRUMP,76,72,4
Lassen,Lassen 222,President,,PFP,GLORIA LA RIVA,0,0,0
Lassen,Lassen 222,President,,AIP,ROCKY DE LA FUENTE GUERRA,0,0,0
Lassen,Lassen 222,President,,GRN,HOWIE HAWKINS,2,2,0
Lassen,Lassen 222,President,,LIB,JO JORGENSEN,1,1,0
Lassen,Lassen 222,President,,WRI,Write-In: UNCERTIFIED WRITE IN,0,0,0
Lassen,Lassen 222,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 222,President,,,Total Votes Cast,93,89,4
Lassen,Lassen 222,President,,,Overvotes,0,0,0
Lassen,Lassen 222,President,,,Undervotes,1,1,0
Lassen,Lassen 222,U.S. House,1,REP,DOUG LAMALFA,70,66,4
Lassen,Lassen 222,U.S. House,1,DEM,AUDREY DENNEY,20,20,0
Lassen,Lassen 222,U.S. House,1,,Overvotes,2,2,0
Lassen,Lassen 222,U.S. House,1,,Undervotes,2,2,0
Lassen,Lassen 222,State Senate,01,REP,BRIAN DAHLE,75,71,4
Lassen,Lassen 222,State Senate,01,DEM,PAMELA DAWN SWARTZ,11,11,0
Lassen,Lassen 222,State Senate,01,,Overvotes,1,1,0
Lassen,Lassen 222,State Senate,01,,Undervotes,7,7,0
Lassen,Lassen 222,State Assembly,01,REP,MEGAN DAHLE,72,70,2
Lassen,Lassen 222,State Assembly,01,DEM,ELIZABETH L BETANCOURT,15,14,1
Lassen,Lassen 222,State Assembly,01,,Overvotes,2,2,0
Lassen,Lassen 222,State Assembly,01,,Undervotes,5,4,1
Lassen,Lassen 223,Registered Voters,,,,7,,
Lassen,Lassen 223,Ballots Cast,,,,6,6,0
Lassen,Lassen 223,President,,DEM,JOSEPH R. BIDEN,0,0,0
Lassen,Lassen 223,President,,REP,DONALD J. TRUMP,6,6,0
Lassen,Lassen 223,President,,PFP,GLORIA LA RIVA,0,0,0
Lassen,Lassen 223,President,,AIP,ROCKY DE LA FUENTE GUERRA,0,0,0
Lassen,Lassen 223,President,,GRN,HOWIE HAWKINS,0,0,0
Lassen,Lassen 223,President,,LIB,JO JORGENSEN,0,0,0
Lassen,Lassen 223,President,,WRI,Write-In: UNCERTIFIED WRITE IN,0,0,0
Lassen,Lassen 223,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 223,President,,,Overvotes,0,0,0
Lassen,Lassen 223,President,,,Undervotes,0,0,0
Lassen,Lassen 223,U.S. House,1,REP,DOUG LAMALFA,6,6,0
Lassen,Lassen 223,U.S. House,1,DEM,AUDREY DENNEY,0,0,0
Lassen,Lassen 223,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 223,U.S. House,1,,Undervotes,0,0,0
Lassen,Lassen 223,State Senate,01,REP,BRIAN DAHLE,4,4,0
Lassen,Lassen 223,State Senate,01,DEM,PAMELA DAWN SWARTZ,0,0,0
Lassen,Lassen 223,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 223,State Senate,01,,Undervotes,2,2,0
Lassen,Lassen 223,State Assembly,01,REP,MEGAN DAHLE,6,6,0
Lassen,Lassen 223,State Assembly,01,DEM,ELIZABETH L BETANCOURT,0,0,0
Lassen,Lassen 223,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 223,State Assembly,01,,Undervotes,0,0,0
Lassen,Lassen 301,Registered Voters,,,,935,,
Lassen,Lassen 301,Ballots Cast,,,,815,795,20
Lassen,Lassen 301,President,,DEM,JOSEPH R. BIDEN,147,146,1
Lassen,Lassen 301,President,,REP,DONALD J. TRUMP,651,632,19
Lassen,Lassen 301,President,,PFP,GLORIA LA RIVA,0,0,0
Lassen,Lassen 301,President,,AIP,ROCKY DE LA FUENTE GUERRA,2,2,0
Lassen,Lassen 301,President,,GRN,HOWIE HAWKINS,0,0,0
Lassen,Lassen 301,President,,LIB,JO JORGENSEN,6,6,0
Lassen,Lassen 301,President,,WRI,Write-In: UNCERTIFIED WRITE IN,4,4,0
Lassen,Lassen 301,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 301,President,,,Overvotes,0,0,0
Lassen,Lassen 301,President,,,Undervotes,5,5,0
Lassen,Lassen 301,U.S. House,1,REP,DOUG LAMALFA,658,641,17
Lassen,Lassen 301,U.S. House,1,DEM,AUDREY DENNEY,147,146,1
Lassen,Lassen 301,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 301,U.S. House,1,,Undervotes,10,8,2
Lassen,Lassen 301,State Senate,01,REP,BRIAN DAHLE,677,660,17
Lassen,Lassen 301,State Senate,01,DEM,PAMELA DAWN SWARTZ,123,121,2
Lassen,Lassen 301,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 301,State Senate,01,,Undervotes,15,14,1
Lassen,Lassen 301,State Assembly,01,REP,MEGAN DAHLE,667,651,16
Lassen,Lassen 301,State Assembly,01,DEM,ELIZABETH L BETANCOURT,134,131,3
Lassen,Lassen 301,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 301,State Assembly,01,,Undervotes,14,13,1
Lassen,Lassen 302,Registered Voters,,,,935,,
Lassen,Lassen 302,Ballots Cast,,,,783,774,9
Lassen,Lassen 302,President,,DEM,JOSEPH R. BIDEN,108,108,0
Lassen,Lassen 302,President,,REP,DONALD J. TRUMP,653,644,9
Lassen,Lassen 302,President,,PFP,GLORIA LA RIVA,0,0,0
Lassen,Lassen 302,President,,AIP,ROCKY DE LA FUENTE GUERRA,5,5,0
Lassen,Lassen 302,President,,GRN,HOWIE HAWKINS,1,1,0
Lassen,Lassen 302,President,,LIB,JO JORGENSEN,11,11,0
Lassen,Lassen 302,President,,WRI,Write-In: UNCERTIFIED WRITE IN,2,2,0
Lassen,Lassen 302,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 302,President,,,Overvotes,1,1,0
Lassen,Lassen 302,President,,,Undervotes,2,2,0
Lassen,Lassen 302,U.S. House,1,REP,DOUG LAMALFA,642,633,9
Lassen,Lassen 302,U.S. House,1,DEM,AUDREY DENNEY,123,123,0
Lassen,Lassen 302,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 302,U.S. House,1,,Undervotes,18,18,0
Lassen,Lassen 302,State Senate,01,REP,BRIAN DAHLE,651,642,9
Lassen,Lassen 302,State Senate,01,DEM,PAMELA DAWN SWARTZ,105,105,0
Lassen,Lassen 302,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 302,State Senate,01,,Undervotes,27,27,0
Lassen,Lassen 302,State Assembly,01,REP,MEGAN DAHLE,649,641,8
Lassen,Lassen 302,State Assembly,01,DEM,ELIZABETH L BETANCOURT,109,108,1
Lassen,Lassen 302,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 302,State Assembly,01,,Undervotes,25,25,0
Lassen,Lassen 303,Registered Voters,,,,938,,
Lassen,Lassen 303,Ballots Cast,,,,757,750,7
Lassen,Lassen 303,President,,DEM,JOSEPH R. BIDEN,136,135,1
Lassen,Lassen 303,President,,REP,DONALD J. TRUMP,599,594,5
Lassen,Lassen 303,President,,PFP,GLORIA LA RIVA,1,0,1
Lassen,Lassen 303,President,,AIP,ROCKY DE LA FUENTE GUERRA,0,0,0
Lassen,Lassen 303,President,,GRN,HOWIE HAWKINS,2,2,0
Lassen,Lassen 303,President,,LIB,JO JORGENSEN,11,11,0
Lassen,Lassen 303,President,,WRI,Write-In: UNCERTIFIED WRITE IN,4,4,0
Lassen,Lassen 303,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 303,President,,,Overvotes,0,0,0
Lassen,Lassen 303,President,,,Undervotes,4,4,0
Lassen,Lassen 303,U.S. House,1,REP,DOUG LAMALFA,592,589,3
Lassen,Lassen 303,U.S. House,1,DEM,AUDREY DENNEY,149,147,2
Lassen,Lassen 303,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 303,U.S. House,1,,Undervotes,16,14,2
Lassen,Lassen 303,State Senate,01,REP,BRIAN DAHLE,624,621,3
Lassen,Lassen 303,State Senate,01,DEM,PAMELA DAWN SWARTZ,108,106,2
Lassen,Lassen 303,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 303,State Senate,01,,Undervotes,25,23,2
Lassen,Lassen 303,State Assembly,01,REP,MEGAN DAHLE,589,586,3
Lassen,Lassen 303,State Assembly,01,DEM,ELIZABETH L BETANCOURT,144,142,2
Lassen,Lassen 303,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 303,State Assembly,01,,Undervotes,24,22,2
Lassen,Lassen 304,Registered Voters,,,,72,,
Lassen,Lassen 304,Ballots Cast,,,,52,51,1
Lassen,Lassen 304,President,,DEM,JOSEPH R. BIDEN,11,11,0
Lassen,Lassen 304,President,,REP,DONALD J. TRUMP,39,38,1
Lassen,Lassen 304,President,,PFP,GLORIA LA RIVA,0,0,0
Lassen,Lassen 304,President,,AIP,ROCKY DE LA FUENTE GUERRA,0,0,0
Lassen,Lassen 304,President,,GRN,HOWIE HAWKINS,0,0,0
Lassen,Lassen 304,President,,LIB,JO JORGENSEN,2,2,0
Lassen,Lassen 304,President,,WRI,Write-In: UNCERTIFIED WRITE IN,0,0,0
Lassen,Lassen 304,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 304,President,,,Overvotes,0,0,0
Lassen,Lassen 304,President,,,Undervotes,0,0,0
Lassen,Lassen 304,U.S. House,1,REP,DOUG LAMALFA,35,35,0
Lassen,Lassen 304,U.S. House,1,DEM,AUDREY DENNEY,15,15,0
Lassen,Lassen 304,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 304,U.S. House,1,,Undervotes,2,1,1
Lassen,Lassen 304,State Senate,01,REP,BRIAN DAHLE,34,34,0
Lassen,Lassen 304,State Senate,01,DEM,PAMELA DAWN SWARTZ,16,16,0
Lassen,Lassen 304,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 304,State Senate,01,,Undervotes,2,1,1
Lassen,Lassen 304,State Assembly,01,REP,MEGAN DAHLE,35,35,0
Lassen,Lassen 304,State Assembly,01,DEM,ELIZABETH L BETANCOURT,15,15,0
Lassen,Lassen 304,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 304,State Assembly,01,,Undervotes,2,1,1
Lassen,Lassen 305,Registered Voters,,,,209,,
Lassen,Lassen 305,Ballots Cast,,,,171,167,4
Lassen,Lassen 305,President,,DEM,JOSEPH R. BIDEN,53,53,0
Lassen,Lassen 305,President,,REP,DONALD J. TRUMP,114,110,4
Lassen,Lassen 305,President,,PFP,GLORIA LA RIVA,0,0,0
Lassen,Lassen 305,President,,AIP,ROCKY DE LA FUENTE GUERRA,0,0,0
Lassen,Lassen 305,President,,GRN,HOWIE HAWKINS,0,0,0
Lassen,Lassen 305,President,,LIB,JO JORGENSEN,2,2,0
Lassen,Lassen 305,President,,WRI,Write-In: UNCERTIFIED WRITE IN,1,1,0
Lassen,Lassen 305,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 305,President,,,Overvotes,1,1,0
Lassen,Lassen 305,President,,,Undervotes,0,0,0
Lassen,Lassen 305,U.S. House,1,REP,DOUG LAMALFA,107,105,2
Lassen,Lassen 305,U.S. House,1,DEM,AUDREY DENNEY,54,54,0
Lassen,Lassen 305,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 305,U.S. House,1,,Undervotes,10,8,2
Lassen,Lassen 305,State Senate,01,REP,BRIAN DAHLE,110,109,1
Lassen,Lassen 305,State Senate,01,DEM,PAMELA DAWN SWARTZ,46,46,0
Lassen,Lassen 305,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 305,State Senate,01,,Undervotes,15,12,3
Lassen,Lassen 305,State Assembly,01,REP,MEGAN DAHLE,108,107,1
Lassen,Lassen 305,State Assembly,01,DEM,ELIZABETH L BETANCOURT,50,50,0
Lassen,Lassen 305,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 305,State Assembly,01,,Undervotes,13,10,3
Lassen,Lassen 314,Registered Voters,,,,250,,
Lassen,Lassen 314,Ballots Cast,,,,207,206,1
Lassen,Lassen 314,President,,DEM,JOSEPH R. BIDEN,42,42,0
Lassen,Lassen 314,President,,REP,DONALD J. TRUMP,162,161,1
Lassen,Lassen 314,President,,PFP,GLORIA LA RIVA,2,2,0
Lassen,Lassen 314,President,,AIP,ROCKY DE LA FUENTE GUERRA,0,0,0
Lassen,Lassen 314,President,,GRN,HOWIE HAWKINS,0,0,0
Lassen,Lassen 314,President,,LIB,JO JORGENSEN,1,1,0
Lassen,Lassen 314,President,,WRI,Write-In: UNCERTIFIED WRITE IN,0,0,0
Lassen,Lassen 314,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 314,President,,,Overvotes,0,0,0
Lassen,Lassen 314,President,,,Undervotes,0,0,0
Lassen,Lassen 314,U.S. House,1,REP,DOUG LAMALFA,166,165,1
Lassen,Lassen 314,U.S. House,1,DEM,AUDREY DENNEY,38,38,0
Lassen,Lassen 314,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 314,U.S. House,1,,Undervotes,3,3,0
Lassen,Lassen 314,State Senate,01,REP,BRIAN DAHLE,167,166,1
Lassen,Lassen 314,State Senate,01,,Total Votes Cast,200,199,1
Lassen,Lassen 314,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 314,State Senate,01,,Undervotes,7,7,0
Lassen,Lassen 314,State Assembly,01,REP,MEGAN DAHLE,164,163,1
Lassen,Lassen 314,State Assembly,01,DEM,ELIZABETH L BETANCOURT,39,39,0
Lassen,Lassen 314,State Assembly,01,,Overvotes,0,0,0
Lassen,Lassen 314,State Assembly,01,,Undervotes,4,4,0
Lassen,Lassen 315,Registered Voters,,,,361,,
Lassen,Lassen 315,Ballots Cast,,,,301,300,1
Lassen,Lassen 315,President,,DEM,JOSEPH R. BIDEN,67,67,0
Lassen,Lassen 315,President,,REP,DONALD J. TRUMP,227,226,1
Lassen,Lassen 315,President,,PFP,GLORIA LA RIVA,0,0,0
Lassen,Lassen 315,President,,AIP,ROCKY DE LA FUENTE GUERRA,0,0,0
Lassen,Lassen 315,President,,GRN,HOWIE HAWKINS,2,2,0
Lassen,Lassen 315,President,,LIB,JO JORGENSEN,4,4,0
Lassen,Lassen 315,President,,WRI,Write-In: UNCERTIFIED WRITE IN,1,1,0
Lassen,Lassen 315,President,,WRI,Write-In: JESSE VENTURA,0,0,0
Lassen,Lassen 315,President,,,Overvotes,0,0,0
Lassen,Lassen 315,President,,,Undervotes,0,0,0
Lassen,Lassen 315,U.S. House,1,REP,DOUG LAMALFA,220,219,1
Lassen,Lassen 315,U.S. House,1,DEM,AUDREY DENNEY,79,79,0
Lassen,Lassen 315,U.S. House,1,,Overvotes,0,0,0
Lassen,Lassen 315,U.S. House,1,,Undervotes,2,2,0
Lassen,Lassen 315,State Senate,01,REP,BRIAN DAHLE,231,230,1
Lassen,Lassen 315,State Senate,01,DEM,PAMELA DAWN SWARTZ,63,63,0
Lassen,Lassen 315,State Senate,01,,Overvotes,0,0,0
Lassen,Lassen 315,State Senate,01,,Undervotes,7,7,0
Lassen,Lassen 315,State Assembly,01,REP,MEGAN DAHLE,225,224,1
Lassen,Lassen 315,State Assembly,01,DEM,ELIZABETH L BETANCOURT,70,70,0
